28,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
nb,nb,id 150,landing id 150#,landing od 150#,od 150#,id 300,landing id 300#,landing od 300#,od 300#,id 400,landing id 400#,landing od 400#,od 400#,id 600,landing id 600#,landing od 600#,od 600#,id 900,landing id 900#,landing od 900#,od 900#,150#wtkg,300#wtkg,400#wtkg,600#wtkg,900#wtkg,thk
26,26,25.75,26.5,27.75,30.5,25.75,27,29,32.88,26,27,29,32.75,25.5,27,29,34.13,26,27,29,34.75,1.801,2.779,2.714,3.441,3.781,0.13
28,28,27.75,28.5,29.75,32.75,27.75,29,31,35.38,28,29,31,35.13,27.5,29,31,36,28,29,31,37.25,2.057,3.242,3.103,3.595,4.318,0.13
30,30,29.75,30.5,31.75,34.75,29.75,31.25,33.25,37.5,29.75,31.25,33.25,37.25,29.75,31.25,33.25,38.25,30.25,31.25,33.25,39.75,2.191,3.395,3.247,3.844,4.768,0.13
32,32,31.75,32.5,33.88,37,31.75,33.5,35.5,39.63,32,33.5,35.5,39.5,32,33.5,35.5,40.25,32,33.5,35.5,42.25,2.471,3.539,3.46,3.933,5.237,0.13
34,34,33.75,34.5,35.88,39,33.75,35.5,37.5,41.63,34,35.5,37.5,41.5,34,35.5,37.5,42.25,34,35.5,37.5,44.75,2.613,3.732,3.65,4.146,5.865,0.13
36,36,35.75,36.5,38.13,41.25,35.75,37.63,39.63,44,36.13,37.63,39.63,44,36.13,37.63,39.63,44.5,36.25,37.75,39.75,47.25,2.918,4.111,4.111,4.461,6.38,0.13
38,38,37.75,38.5,40.13,43.75,37.5,38.5,40,41.5,37.5,38.25,40.25,42.25,37.5,39,41,43.5,39.75,40.75,42.75,47.25,3.412,1.896,2.544,2.933,4.519,0.13
40,40,39.75,40.5,42.13,45.75,39.5,40.25,42.13,43.88,39.38,40.38,42.38,44.38,39.75,41.25,43.25,45.5,41.75,43.25,45.25,49.25,3.578,2.409,2.678,2.913,4.385,0.13
42,42,41.75,42.5,44.25,48,41.5,42.25,44.13,45.88,41.38,42.38,44.38,46.38,42,43.5,45.5,48,43.75,45.25,47.25,51.25,3.933,2.524,2.805,3.253,4.574,0.13
44,44,43.75,44.5,46.38,50.25,43.5,44.5,46.5,48,43.5,44.5,46.5,48.5,43.75,45.75,47.75,50,45.5,47.5,49.5,53.88,4.304,2.558,2.939,3.192,5.106,0.13
46,46,45.75,46.5,48.38,52.25,45.38,46.38,48.38,50.13,46,47,49,50.75,45.75,47.75,49.75,52.25,48,50,52,56.5,4.486,2.859,2.896,3.342,5.469,0.13
48,48,47.75,48.5,50.38,54.5,47.63,48.63,50.63,52.13,47.5,49,51,53,48,50,52,54.75,50,52,54,58.5,4.883,2.786,3.223,3.931,5.675,0.13
50,50,49.75,50.5,52.5,56.5,49,51,53,54.25,49.5,51,53,55.25,50,52,54,57,N/A,N/A,N/A,N/A,5.072,2.703,3.568,4.306,N/A,0.13
52,52,51.75,52.5,54.5,58.75,52,53,55,56.25,51.5,53,55,57.25,52,54,56,59,N/A,N/A,N/A,N/A,5.493,2.805,3.702,4.464,N/A,0.13
54,54,53.5,54.5,56.5,61,53.25,55.25,57.25,58.75,53.25,55.25,57.25,59.75,54.25,56.25,58.25,61.25,N/A,N/A,N/A,N/A,5.931,3.152,4.089,4.642,N/A,0.13
56,56,55.5,56.5,58.5,63.25,55.25,57.25,59.25,60.75,55.25,57.25,59.25,61.75,56.25,58.25,60.25,63.5,N/A,N/A,N/A,N/A,6.386,3.263,4.231,5.05,N/A,0.13
58,58,57.5,58.5,60.5,65.5,57,59.5,61.5,62.75,57.25,59.25,61.25,63.75,58,60.5,62.5,65.5,N/A,N/A,N/A,N/A,6.858,3.139,4.373,4.977,N/A,0.13
60,60,59.5,60.5,62.5,67.5,60,61.5,63.5,64.75,59.75,61.75,63.75,66.25,60.25,62.75,64.75,68.25,N/A,N/A,N/A,N/A,7.079,3.242,4.551,5.692,N/A,0.13
