9,2,3,4,5,6,7,8,9
ISO Nut NB,ISO Nut NB,Across Corners,MAX Thickness,MIN Thickness,MAX Across Flats,MIN Across Flats,pas ISO,Wt per 100 pieces in Kg
M 8,M 8,14.38,6.8,6.44,13,12.73,1.25,0.6
M 10,M 10,17.77,8.4,8.04,16,15.73,1.5,1.3
M 12,M 12,20.03,10.8,10.37,18,17.73,1.75,1.9
M 14,M 14,23.35,12.8,12.1,21,20.67,2,3
M 16,M 16,26.75,14.8,14.1,24,23.67,2,3.9
M 18,M 18,29.56,15.8,15.1,27,26.16,2.5,6.1
M 20,M 20,32.95,18,16.9,30,29.16,2.5,7.5
M 22,M 22,37.29,19.4,18.1,34,33,2.5,9.8
M 24,M 24,39.55,21.5,20.2,36,35,3,12.5
M 27,M 27,45.2,23.8,22.5,41,40,3,19.1
M 30,M 30,50.85,26.6,24.3,46,45,3.5,27
M 33,M 33,55.37,28.7,27.4,50,49,3.5,33.5
M 36,M 36,60.79,31,29.4,55,53.8,4,45.8
M 39,M 39,66.44,33.4,31.8,60,58.8,4,57
M 42,M 42,71.3,34,32.4,65,63.1,4.5,75
M 45,M 45,76.95,36,34.4,70,68.1,4.5,92.5
M 48,M 48,82.6,38,39.4,75,73.1,5,115
M 52,M 52,88.25,42,40.4,80,78.1,5,138
M 56,M 56,93.56,45,43.4,85,82.8,5.5,166
M 60,M 60,99.21,48,46.4,90,87.8,5.5,200
M 64,M 64,104.86,51,49.1,95,92.8,6,230
M 68,M 68,110.51,54,52.1,100,97.8,6,287.5
M 72 x 6,M 72 x 6,116.16,58,56.1,105,102.8,6,344
M 76 x 6,M 76 x 6,121.81,61,59.1,110,107.8,6,380
M 80 x 6,M 80 x 6,127.46,64,62.1,115,112.8,6,430
