10,2,3,4,5,6,7,8,9,10
UNC Nut N/B,UNC Nut N/B,Max Across Corners,Min Across Corners,Max Thickness,Min Thickness,Max Across Flats,Max Across Flats,Threads per Inch,Weight per 100 Pieces in Kg
0+3/8,0+3/8,20.2,19.4,9.6,8.7,17.5,17,16,1.4
0+7/16,0+7/16,22,21.1,11.2,10.2,19,18.5,14,1.9
0+1/2,0+1/2,25.6,24.6,12.8,11.8,22.2,21.6,13,3
0+9/16,0+9/16,27.5,26.3,14.4,13.4,23.8,23.1,12,3.7
0+5/8,0+5/8,31.2,29.8,16,14.9,27,26.2,11,5.4
0+3/4,0+3/4,36.7,35.1,19.3,18,31.8,30.8,10,8.8
0+7/8,0+7/8,42.2,40.4,22.5,21.2,36.5,35.4,9,13.5
1,1,47.7,45.6,25.7,24.3,41.3,40,8,19.3
1+1/8,1+1/8,53.2,50.8,28.9,27.4,46,44.6,8,26.9
1+1/4,1+1/4,58.6,56.1,31.8,30.1,50.8,49.2,8,35.7
1+3/8,1+3/8,64.2,61.4,35,33.3,55.6,53.8,8,46.3
1+1/2,1+1/2,69.6,66.6,38.2,36.4,60.3,58.4,8,59.5
1+5/8,1+5/8,75.2,71.8,41.5,39.5,65.1,63,8,73.6
1+3/4,1+3/4,80.6,77.1,44.7,42.6,69.9,67.6,8,92.7
1+7/8,1+7/8,86.2,82.3,47.9,45.8,74.6,72.2,8,190.5
2,2,91.6,87.6,51.1,48.9,79.4,76.8,8,135.8
2+1/4,2+1/4,102.6,98.1,57.2,54.7,88.9,86.1,8,109.3
2+1/2,2+1/2,113.6,108.6,63.6,61,98.4,95.2,8,256
2+3/4,2+3/4,124.6,119.1,70.1,67.2,108,104.4,8,335
3,3,135.6,129.6,76.5,73.5,117.5,113.7,8,432
