47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTK HOLE DIA,bore1,bore2,thread len,counter b
1,25,150,38.1,52,33.5,N/A,N/A,83,N/A,50.8,7,N/A,6.35,16,4,N/A,1,101.6,4,0+7/8,N/A,150,160,1,24,5.4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,50.8,6.35,8.74,,3.48705792,3.77644032,6.4,25.5,N/A,N/A,N/A,N/A
1+1/2,40,180,38.1,70,48.3,N/A,N/A,89,N/A,73,7,N/A,6.35,20,4,N/A,1+1/2,123.8,4,1,N/A,160,165,1+1/8,27,7.8,N/A,N/A,N/A,1+1/2,N/A,N/A,N/A,N/A,68.27,6.35,8.74,,4.06,4.13,6.4,28.575,N/A,N/A,N/A,N/A
2,50,215,38.1,105,60.3,N/A,N/A,102,N/A,92.1,7,N/A,7.92,24,3,N/A,2,165.1,8,0+7/8,N/A,150,165,1,30,11.5,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,95.25,7.92,11.91,,10.13,10.69,6.4,25.4,N/A,N/A,N/A,N/A
2+1/2,65,245,41.3,124,73,N/A,N/A,105,N/A,104.8,7,N/A,7.92,27,3,N/A,2+1/2,190.5,8,1,N/A,165,180,1+1/8,27,15.8,N/A,N/A,N/A,2+1/2,N/A,N/A,N/A,N/A,107.95,7.92,11.91,,8.27,8.74,6.4,28.575,N/A,N/A,N/A,N/A
3,80,240,38.1,127,88.9,N/A,N/A,102,N/A,127,7,N/A,7.92,31,4,N/A,3,190.5,8,0+7/8,N/A,150,165,1,24,22,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,123.83,7.92,11.9,,5.76,6.12,9.5,25.4,N/A,N/A,N/A,N/A
4,100,290,44.5,159,114.3,N/A,N/A,114,N/A,157.2,7,N/A,7.92,37,4,N/A,4,235,8,1+1/8,N/A,180,190,1+1/4,30,22,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,149.23,7.92,11.9,,11.25,11.63,12.7,31.75,N/A,N/A,N/A,N/A
6,150,380,55.6,235,168.3,N/A,N/A,140,N/A,215.9,7,N/A,7.92,45,4,N/A,6,317.5,12,1+1/8,N/A,195,210,1+1/4,30,70,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,211.12,7.92,11.9,,17.72,18.56,12.7,31.75,N/A,N/A,N/A,N/A
8,200,470,63.5,298,219.1,N/A,N/A,162,N/A,269.9,7,N/A,7.92,49,4,N/A,8,393.7,12,1+3/8,N/A,230,240,1+1/2,36,119,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,269.88,7.92,11.9,,31.07,31.92,12.7,38.1,N/A,N/A,N/A,N/A
10,250,545,69.9,368,273,N/A,N/A,184,N/A,323.8,7,N/A,7.92,53,4,N/A,10,469.9,16,1+3/8,N/A,240,255,1+1/2,36,204,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,323.85,7.92,11.9,,42.56,44.25,12.7,38.1,N/A,N/A,N/A,N/A
12,300,610,79.4,419,323.8,N/A,N/A,200,N/A,381,7,N/A,7.92,57,4,N/A,12,533.4,20,1+3/8,N/A,260,275,1+1/2,36,303,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,381,7.92,11.9,,56.04,58.15,12.7,38.1,N/A,N/A,N/A,N/A
14,350,640,85.8,451,355.6,,N/A,213,N/A,412.8,7,N/A,11.13,62,4,N/A,14,558.8,20,1+1/2,N/A,280,290,1+5/8,39,400,N/A,N/A,N/A,14,N/A,N/A,N/A,N/A,419.1,11.13,16.66,,71.79,73.46,12.7,41.275,N/A,N/A,N/A,N/A
16,400,705,88.9,508,406.4,,N/A,216,N/A,469.9,7,N/A,11.13,66,4,N/A,16,616,20,1+5/8,N/A,290,305,1+3/4,42,510,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,469.9,11.13,16.66,,88.97,91.94,12.7,44.45,N/A,N/A,N/A,N/A
18,450,785,101.9,565,457.2,,N/A,229,N/A,533.4,7,N/A,12.7,70,5,N/A,18,685.8,20,1+7/8,N/A,330,350,2,48,738,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,533.4,12.7,19.84,,134.13,139.32,12.7,50.8,N/A,N/A,N/A,N/A
20,500,855,108,622,508,,N/A,248,N/A,584.2,7,N/A,12.7,74,5,N/A,20,749.3,20,2,N/A,355,375,2+1/8,52,932,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,584.2,12.7,19.84,,168.14,174.29,12.7,53.975,N/A,N/A,N/A,N/A
24,600,1040,139.7,749,609.6,,N/A,292,N/A,692.2,7,N/A,15.88,78,6,N/A,24,901.7,20,2+1/2,N/A,445,470,2+5/8,64,1511,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,692.15,15.88,26.97,,303.76,315.32,12.7,66.675,N/A,N/A,N/A,N/A
