47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTJ HOLE DIA,bore1,bore2,thread len,counter b
1,25,5.88,1.5,2.06,1.32,N/A,N/A,3.25,N/A,2,0.25,N/A,0.25,16,0.16,N/A,1,4,4,0+7/8,N/A,6,6.25,1,24,5.4,N/A,N/A,,1,N/A,N/A,N/A,N/A,2,0.25,0.344,,3.48705792,3.77644032,6.4,1,N/A,N/A,N/A,N/A
1+1/2,40,7,1.5,2.75,1.9,N/A,N/A,3.5,N/A,2.88,0.25,N/A,0.25,20,0.16,N/A,1+1/2,4.88,4,1,N/A,6.25,6.5,1+1/8,27,7.8,N/A,N/A,,1+1/2,N/A,N/A,N/A,N/A,2.688,0.25,0.344,,4.06,4.13,6.4,1.12,N/A,N/A,N/A,N/A
2,50,8.5,1.5,4.12,2.38,N/A,N/A,4,N/A,3.62,0.25,N/A,0.312,24,0.12,N/A,2,6.5,8,0+7/8,N/A,6,6.5,1,30,11.5,N/A,N/A,,2,N/A,N/A,N/A,N/A,3.75,0.312,0.469,,10.13,10.69,6.4,1,N/A,N/A,N/A,N/A
2+1/2,65,9.62,1.62,4.88,2.88,N/A,N/A,4.12,N/A,4.12,0.25,N/A,0.312,27,0.12,N/A,2+1/2,7.5,8,1,N/A,6.5,7,1+1/8,27,15.8,N/A,N/A,,2+1/2,N/A,N/A,N/A,N/A,4.25,0.312,0.469,,8.27,8.74,6.4,1.12,N/A,N/A,N/A,N/A
3,80,9.5,1.5,5,3.5,N/A,N/A,4,N/A,5,0.25,N/A,0.312,31,0.16,N/A,3,7.5,8,0+7/8,N/A,6,6.5,1,24,22,N/A,N/A,,3,N/A,N/A,N/A,N/A,4.875,0.312,0.469,,5.76,6.12,0.375,1,N/A,N/A,N/A,N/A
4,100,11.5,1.75,6.25,4.5,N/A,N/A,4.5,N/A,6.19,0.25,N/A,0.312,37,0.16,N/A,4,9.25,8,1+1/8,N/A,7,7.5,1+1/4,30,22,N/A,N/A,,4,N/A,N/A,N/A,N/A,5.875,0.312,0.469,,11.25,11.63,0.5,1.25,N/A,N/A,N/A,N/A
6,150,15,2.19,9.25,6.63,N/A,N/A,5.5,N/A,8.5,0.25,N/A,0.312,45,0.16,N/A,6,12.5,12,1+1/8,N/A,7.75,8.25,1+1/4,30,70,N/A,N/A,,6,N/A,N/A,N/A,N/A,8.321,0.312,0.469,,17.72,18.56,0.5,1.25,N/A,N/A,N/A,N/A
8,200,18.5,2.5,11.75,8.63,N/A,N/A,6.38,N/A,10.62,0.25,N/A,0.312,49,0.16,N/A,8,15.5,12,1+3/8,N/A,9,9.5,1+1/2,36,119,N/A,N/A,,8,N/A,N/A,N/A,N/A,10.625,0.312,0.469,,31.07,31.92,0.5,1.5,N/A,N/A,N/A,N/A
10,250,21.5,2.75,14.5,10.75,N/A,N/A,7.25,N/A,12.75,0.25,N/A,0.312,53,0.16,N/A,10,18.5,16,1+3/8,N/A,9.5,10,1+1/2,36,204,N/A,N/A,,10,N/A,N/A,N/A,N/A,12.75,0.312,0.469,,42.56,44.25,0.5,1.5,N/A,N/A,N/A,N/A
12,300,24,3.12,16.5,12.75,N/A,N/A,7.88,N/A,15,0.25,N/A,0.312,57,0.16,N/A,12,21,20,1+3/8,N/A,10.25,10.75,1+1/2,36,303,N/A,N/A,,12,N/A,N/A,N/A,N/A,15,0.312,0.469,,56.04,58.15,0.5,1.5,N/A,N/A,N/A,N/A
14,350,25.25,3.38,17.75,14,,N/A,8.38,N/A,16.25,0.25,N/A,0.438,62,0.16,N/A,14,22,20,1+1/2,N/A,11,11.5,1+5/8,39,400,N/A,N/A,,14,N/A,N/A,N/A,N/A,16.5,0.438,0.656,,71.79,73.46,0.5,1.62,N/A,N/A,N/A,N/A
16,400,27.75,3.5,20,16,,N/A,8.5,N/A,18.5,0.25,N/A,0.438,66,0.16,N/A,16,24.25,20,1+5/8,N/A,11.5,12,1+3/4,42,510,N/A,N/A,,16,N/A,N/A,N/A,N/A,18.5,0.438,0.656,,88.97,91.94,0.5,1.75,N/A,N/A,N/A,N/A
18,450,31,4,22.25,18,,N/A,9,N/A,21,0.25,N/A,0.5,70,0.19,N/A,18,27,20,1+7/8,N/A,13,13.75,2,48,738,N/A,N/A,,18,N/A,N/A,N/A,N/A,21,0.5,0.781,,134.13,139.32,0.5,2,N/A,N/A,N/A,N/A
20,500,33.75,4.25,24.5,20,,N/A,9.75,N/A,23,0.25,N/A,0.5,74,0.19,N/A,20,29.5,20,2,N/A,14,14.75,2+1/8,52,932,N/A,N/A,,20,N/A,N/A,N/A,N/A,23,0.5,0.781,,168.14,174.29,0.5,2.12,N/A,N/A,N/A,N/A
24,600,41,5.5,29.5,24,,N/A,11.5,N/A,27.25,0.25,N/A,0.625,78,0.22,N/A,24,35.5,20,2+1/2,N/A,17.5,18.5,2+5/8,64,1511,N/A,N/A,,24,N/A,N/A,N/A,N/A,27.25,0.625,1.062,,303.76,315.32,0.5,2.62,N/A,N/A,N/A,N/A
