13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,2.24,6.85,9.22,0.63,0.69,0.13,,,,0+1/4
0+3/8,10,17.1,2.31,8.55,12.48,0.84,0.96,0.3,,,,0+3/8
0+1/2,15,21.3,2.77,10.65,15.76,1.27,1.46,0.7,,,,0+1/2
0+3/4,20,26.7,2.87,13.35,20.96,1.69,2.03,1.54,,,,0+3/4
1,25,33.4,3.38,16.7,26.64,2.5,3.05,3.63,,,,1
1+1/4,32,42.2,3.56,21.1,35.08,3.39,4.35,8.12,,,,1+1/4
1+1/2,40,48.3,3.68,24.15,40.94,4.05,5.36,12.91,,,,1+1/2
2,50,60.3,3.91,30.15,52.48,5.44,7.6,27.65,,,,2
2+1/2,65,73,5.16,36.5,62.68,8.63,11.71,63.59,,,,2+1/2
3,80,88.9,5.49,44.45,77.92,11.29,16.05,125.58,,,,3
3+1/2,90,101.6,5.74,50.8,90.12,13.57,19.94,199.16,,,,3+1/2
4,100,114.3,6.02,57.15,102.26,16.08,24.28,300.89,,,,4
5,125,141.3,6.55,70.65,128.2,21.77,34.67,630.51,,,,5
6,150,168.3,7.11,84.15,154.08,28.26,46.89,1171.02,,,,6
8,200,219.1,8.18,109.55,202.74,42.55,74.81,3017.16,,,,8
10,250,273,9.27,136.5,254.46,60.29,111.11,6682.42,,,,10
12,300,323.8,10.31,161.9,303.18,79.71,151.86,12480.69,,,,12
14,350,355.6,11.13,177.8,333.34,94.55,181.77,17874.84,,,,14
16,400,406.4,12.7,203.2,381,123.31,237.26,30450.28,,,,16
18,450,457,14.27,228.5,428.46,155.81,299.91,48655.44,,,,18
20,500,508,15.09,254,477.82,183.43,362.65,70996.77,,,,20
22,550,559,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
24,600,610,17.48,305,575.04,255.43,515,142845.95,,,,24
26,650,660,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
28,700,711,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
30,750,762,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
32,800,813,17.48,406.5,778.04,342.94,818.13,345576.36,,,,32
34,850,864,17.48,432,829.04,364.92,904.45,416368.53,,,,34
36,900,914,19.05,457,875.9,420.45,1022.7,536201.08,,,,36
