13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,10.3,1.24,5.15,5.48,0.47,0.49,0,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,3.02,6.85,7.66,0.8,0.84,0.15,,,,0+1/4
0+3/8,10,17.1,3.2,8.55,10.7,1.1,1.18,0.35,,,,0+3/8
0+1/2,15,21.3,3.73,10.65,13.84,1.62,1.77,0.82,,,,0+1/2
0+3/4,20,26.7,3.91,13.35,18.88,2.2,2.47,1.87,,,,0+3/4
1,25,33.4,4.55,16.7,24.3,3.24,3.7,4.39,,,,1
1+1/4,32,42.2,4.85,21.1,32.5,4.47,5.29,10.08,,,,1+1/4
1+1/2,40,48.3,5.08,24.15,38.14,5.41,6.55,16.31,,,,1+1/2
2,50,60.3,5.54,30.15,49.22,7.48,9.38,36.07,,,,2
2+1/2,65,73,7.01,36.5,58.98,11.41,14.14,79.95,,,,2+1/2
3,80,88.9,7.62,44.45,73.66,15.27,19.52,162.01,,,,3
3+1/2,90,101.6,8.08,50.8,85.44,18.64,24.37,261.33,,,,3+1/2
4,100,114.3,8.56,57.15,97.18,22.32,29.73,399.82,,,,4
5,125,141.3,9.53,70.65,122.24,30.97,42.69,860.29,,,,5
6,150,168.3,10.97,84.15,146.36,42.56,59.37,1684.95,,,,6
8,200,219.1,12.7,109.55,193.7,64.64,94.09,4399.6,,,,8
10,250,273,12.7,136.5,247.6,81.53,129.65,8812.48,,,,10
12,300,323.8,12.7,161.9,298.4,97.44,167.33,15033.72,,,,12
14,350,355.6,12.7,177.8,330.2,107.4,192.99,20125.24,,,,14
16,400,406.4,12.7,203.2,381,123.31,237.26,30450.28,,,,16
18,450,457,12.7,228.5,431.6,139.16,285.38,43754.93,,,,18
20,500,508,12.7,254,482.6,155.13,337.95,60608.53,,,,20
22,550,559,12.7,279.5,533.6,171.1,394.61,81315.18,,,,22
24,600,610,12.7,305,584.6,187.07,455.34,106271.6,,,,24
26,650,660,12.7,330,634.6,202.74,518.87,135246.9,,,,26
28,700,711,12.7,355.5,685.6,218.71,587.69,169790.4,,,,28
30,750,762,12.7,381,736.6,234.68,660.6,209766.1,,,,30
32,800,813,12.7,406.5,787.6,250.65,737.59,255570.77,,,,32
34,850,864,12.7,432,838.6,266.63,818.68,307601.13,,,,34
36,900,914,12.7,457,888.6,282.29,902.13,365037.69,,,,36
38,950,965,12.7,482.5,939.6,298.26,991.29,430568.21,,,,38
40,1000,1016,12.7,508,990.6,314.23,1084.54,503506.86,,,,40
42,1050,1067,12.7,533.5,1041.6,330.21,1181.88,584250.39,,,,42
44,1100,1118,12.7,559,1092.6,346.18,1283.29,673195.53,,,,44
46,1150,1168,12.7,584,1142.6,361.84,1386.68,768741.23,,,,46
48,1200,1219,12.7,609.5,1193.6,377.81,1496.18,875099.62,,,,48
