13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,0.065,0.27,0.41,0.33,0.38,0,,,,0+1/4
0+3/8,10,0.675,0.065,0.3375,0.545,0.42,0.52,0,,,,0+3/8
0+1/2,15,0.84,0.083,0.42,0.674,0.67,0.82,0.01,,,,0+1/2
0+3/4,20,1.05,0.083,0.525,0.884,0.86,1.12,0.02,,,,0+3/4
1,25,1.315,0.109,0.6575,1.097,1.41,1.81,0.07,,,,1
1+1/4,32,1.66,0.109,0.83,1.442,1.81,2.51,0.16,,,,1+1/4
1+1/2,40,1.9,0.109,0.95,1.682,2.09,3.05,0.24,,,,1+1/2
2,50,2.375,0.109,1.1875,2.157,2.64,4.22,0.49,,,,2
2+1/2,65,2.875,0.12,1.4375,2.635,3.53,5.89,0.98,,,,2+1/2
3,80,3.5,0.12,1.75,3.26,4.34,7.95,1.82,,,,3
3+1/2,90,4,0.12,2,3.76,4.98,9.78,2.75,,,,3+1/2
4,100,4.5,0.12,2.25,4.26,5.62,11.79,3.96,,,,4
5,125,5.563,0.134,2.7815,5.295,7.78,17.31,8.42,,,,5
6,150,6.625,0.134,3.3125,6.357,9.3,23.04,14.39,,,,6
8,200,8.625,0.148,4.3125,8.329,13.41,37,35.39,,,,8
10,250,10.75,0.165,5.375,10.42,18.67,55.6,76.82,,,,10
12,300,12.75,0.18,6.375,12.39,24.19,76.4,140.34,,,,12
14,350,14,0.25,7,13.5,36.75,98.74,255.17,,,,14
16,400,16,0.25,8,15.5,42.09,123.81,383.46,,,,16
18,450,18,0.25,9,17.5,47.44,151.61,548.85,,,,18
20,500,20,0.25,10,19.5,52.78,182.12,756.05,,,,20
22,550,22,0.25,11,21.5,58.13,215.37,1009.75,,,,22
24,600,24,0.25,12,23.5,63.47,251.32,1314.67,,,,24
26,650,26,0.312,13,25.376,85.68,304.72,2076.1,,,,26
28,700,28,0.312,14,27.376,92.35,347.28,2599.7,,,,28
30,750,30,0.312,15,29.376,99.02,392.56,3204.68,,,,30
32,800,32,0.312,16,31.376,105.69,440.56,3896.91,,,,32
34,850,34,0.312,17,33.376,112.36,491.29,4682.27,,,,34
36,900,36,0.312,18,35.376,119.03,544.73,5566.65,,,,36
