13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,0.405,0.068,0.2025,0.269,0.24,0.26,0,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,0.088,0.27,0.364,0.43,0.47,0,,,,0+1/4
0+3/8,10,0.675,0.091,0.3375,0.493,0.57,0.65,0,,,,0+3/8
0+1/2,15,0.84,0.109,0.42,0.622,0.85,0.98,0.01,,,,0+1/2
0+3/4,20,1.05,0.113,0.525,0.824,1.13,1.36,0.03,,,,0+3/4
1,25,1.315,0.133,0.6575,1.049,1.68,2.05,0.08,,,,1
1+1/4,32,1.66,0.14,0.83,1.38,2.27,2.91,0.19,,,,1+1/4
1+1/2,40,1.9,0.145,0.95,1.61,2.72,3.6,0.3,,,,1+1/2
2,50,2.375,0.154,1.1875,2.067,3.66,5.11,0.66,,,,2
2+1/2,65,2.875,0.203,1.4375,2.469,5.8,7.87,1.52,,,,2+1/2
3,80,3.5,0.216,1.75,3.068,7.58,10.78,3.01,,,,3
3+1/2,90,4,0.226,2,3.548,9.12,13.4,4.78,,,,3+1/2
4,100,4.5,0.237,2.25,4.026,10.8,16.31,7.22,,,,4
5,125,5.563,0.258,2.7815,5.047,14.63,23.29,15.15,,,,5
6,150,6.625,0.28,3.3125,6.065,18.99,31.5,28.12,,,,6
8,200,8.625,0.322,4.3125,7.981,28.58,50.24,72.45,,,,8
10,250,10.75,0.365,5.375,10.02,40.52,74.67,160.65,,,,10
12,300,12.75,0.375,6.375,12,49.61,98.59,279.19,,,,12
14,350,14,0.375,7,13.25,54.62,114.34,372.57,,,,14
16,400,16,0.375,8,15.25,62.64,141.74,561.79,,,,16
18,450,18,0.375,9,17.25,70.65,171.87,806.22,,,,18
20,500,20,0.375,10,19.25,78.67,204.72,1112.9,,,,20
22,550,22,0.375,11,21.25,86.69,240.29,1488.91,,,,22
24,600,24,0.375,12,23.25,94.71,278.59,1941.31,,,,24
26,650,26,0.375,13,25.25,102.72,319.59,2477.16,,,,26
28,700,28,0.375,14,27.25,110.74,363.33,3103.54,,,,28
30,750,30,0.375,15,29.25,118.76,409.79,3827.5,,,,30
32,800,32,0.375,16,31.25,126.78,458.97,4656.11,,,,32
34,850,34,0.375,17,33.25,134.79,510.86,5596.43,,,,34
36,900,36,0.375,18,35.25,142.81,565.48,6655.54,,,,36
38,950,38,0.375,19,37.25,150.83,622.83,7840.49,,,,38
40,1000,40,0.375,20,39.25,158.85,682.89,9158.35,,,,40
42,1050,42,0.375,21,41.25,166.86,745.67,10616.19,,,,42
44,1100,44,0.375,22,43.25,174.88,811.18,12221.07,,,,44
46,1150,46,0.375,23,45.25,182.9,879.41,13980.05,,,,46
48,1200,48,0.375,24,47.25,190.92,950.36,15900.2,,,,48
