13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,17.1,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,21.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/4,20,26.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1,25,33.4,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/4,32,42.2,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/2,40,48.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2,50,60.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2+1/2,65,73,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3,80,88.9,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3+1/2,90,101.6,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,114.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
5,125,141.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
6,150,168.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
8,200,219.1,20.62,109.55,177.86,100.93,125.76,6396.47,,,,8
10,250,273,25.4,136.5,222.2,155.1,193.85,15292.26,,,,10
12,300,323.8,28.58,161.9,266.64,208.08,263.89,29133.35,,,,12
14,350,355.6,31.75,177.8,292.1,253.58,320.55,42733.59,,,,14
16,400,406.4,36.53,203.2,333.34,333.21,420.43,73257.55,,,,16
18,450,457,39.67,228.5,377.66,408.28,520.24,114195.03,,,,18
20,500,508,44.45,254,419.1,508.15,646.03,175378.46,,,,20
22,550,559,47.63,279.5,463.74,600.67,769.48,252160.71,,,,22
24,600,610,52.37,305,505.26,720.19,920.59,359562.46,,,,24
