13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,0.675,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,0.84,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/4,20,1.05,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1,25,1.315,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/4,32,1.66,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/2,40,1.9,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2,50,2.375,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2+1/2,65,2.875,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3,80,3.5,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3+1/2,90,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,4.5,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
5,125,5.563,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
6,150,6.625,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
8,200,8.625,0.406,4.3125,7.813,35.67,56.43,88.69,,,,8
10,250,10.75,0.5,5.375,9.75,54.79,87.12,211.84,,,,10
12,300,12.75,0.562,6.375,11.626,73.22,119.19,400.21,,,,12
14,350,14,0.594,7,12.812,85.13,140.96,562.82,,,,14
16,400,16,0.656,8,14.688,107.6,180.98,931.86,,,,16
18,450,18,0.75,9,16.5,138.3,230.91,1513.86,,,,18
20,500,20,0.812,10,18.376,166.56,281.42,2255.59,,,,20
22,550,22,0.875,11,20.25,197.6,337.08,3243.26,,,,22
24,600,24,0.969,12,22.062,238.57,404.13,4654.46,,,,24
