13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,0.405,0.095,0.2025,0.215,0.31,0.32,0,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,0.119,0.27,0.302,0.54,0.57,0,,,,0+1/4
0+3/8,10,0.675,0.126,0.3375,0.423,0.74,0.8,0,,,,0+3/8
0+1/2,15,0.84,0.147,0.42,0.546,1.09,1.19,0.02,,,,0+1/2
0+3/4,20,1.05,0.154,0.525,0.742,1.48,1.66,0.04,,,,0+3/4
1,25,1.315,0.179,0.6575,0.957,2.17,2.48,0.1,,,,1
1+1/4,32,1.66,0.191,0.83,1.278,3,3.55,0.24,,,,1+1/4
1+1/2,40,1.9,0.2,0.95,1.5,3.63,4.39,0.39,,,,1+1/2
2,50,2.375,0.218,1.1875,1.939,5.03,6.3,0.86,,,,2
2+1/2,65,2.875,0.276,1.4375,2.323,7.67,9.5,1.92,,,,2+1/2
3,80,3.5,0.3,1.75,2.9,10.26,13.12,3.89,,,,3
3+1/2,90,4,0.318,2,3.364,12.52,16.36,6.27,,,,3+1/2
4,100,4.5,0.337,2.25,3.826,15,19.97,9.6,,,,4
5,125,5.563,0.375,2.7815,4.813,20.8,28.67,20.66,,,,5
6,150,6.625,0.432,3.3125,5.761,28.6,39.88,40.47,,,,6
8,200,8.625,0.5,4.3125,7.625,43.43,63.2,105.66,,,,8
10,250,10.75,0.5,5.375,9.75,54.79,87.12,211.84,,,,10
12,300,12.75,0.5,6.375,11.75,65.48,112.44,361.36,,,,12
14,350,14,0.5,7,13,72.16,129.64,483.51,,,,14
16,400,16,0.5,8,15,82.85,159.38,731.57,,,,16
18,450,18,0.5,9,17,93.54,191.84,1052.63,,,,18
20,500,20,0.5,10,19,104.23,227.03,1456.12,,,,20
22,550,22,0,11,22,0,164.64,0,,,,22
24,600,24,0.5,12,23,125.61,305.55,2548.06,,,,24
26,650,26,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
28,700,28,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
30,750,30,0,15,30,0,306.14,0,,,,30
