13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,0.675,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,0.84,0.294,0.42,0.252,1.72,1.74,0.02,,,,0+1/2
0+3/4,20,1.05,0.308,0.525,0.434,2.44,2.5,0.05,,,,0+3/4
1,25,1.315,0.358,0.6575,0.599,3.66,3.78,0.14,,,,1
1+1/4,32,1.66,0.382,0.83,0.896,5.22,5.49,0.34,,,,1+1/4
1+1/2,40,1.9,0.4,0.95,1.1,6.41,6.82,0.56,,,,1+1/2
2,50,2.375,0.436,1.1875,1.503,9.04,9.8,1.31,,,,2
2+1/2,65,2.875,0.552,1.4375,1.771,13.71,14.77,2.86,,,,2+1/2
3,80,3.5,0.6,1.75,2.3,18.6,20.39,5.98,,,,3
3+1/2,90,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,4.5,0.674,2.25,3.152,27.57,30.94,15.27,,,,4
5,125,5.563,0.75,2.7815,4.063,38.59,44.2,33.61,,,,5
6,150,6.625,0.864,3.3125,4.897,53.21,61.36,66.29,,,,6
8,200,8.625,0.875,4.3125,6.875,72.49,88.56,161.9,,,,8
10,250,10.75,1,5.375,8.75,104.23,130.27,367.61,,,,10
12,300,12.75,1,6.375,10.75,125.61,164.92,641.33,,,,12
