13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,1.2,6.85,12.5,0,0.14,-0.01,,,,0+1/4
0+3/8,10,17.1,1.2,8.55,15.9,0,0.22,0,,,,0+3/8
0+1/2,15,21.3,1.65,10.65,18,0.8,1.05,0.49,,,,0+1/2
0+3/4,20,26.7,1.65,13.35,23.4,1.02,1.44,1.02,,,,0+3/4
1,25,33.4,1.65,16.7,30.1,1.29,2,2.07,,,,1
1+1/4,32,42.2,1.65,21.1,38.9,1.65,2.83,4.32,,,,1+1/4
1+1/2,40,48.3,1.65,24.15,45,1.9,3.48,6.58,,,,1+1/2
2,50,60.3,1.65,30.15,57,2.39,4.94,13.07,,,,2
2+1/2,65,73,2.11,36.5,68.78,3.69,7.4,29.52,,,,2+1/2
3,80,88.9,2.11,44.45,84.68,4.52,10.14,54.17,,,,3
3+1/2,90,101.6,2.11,50.8,97.38,5.18,12.62,81.59,,,,3+1/2
4,100,114.3,2.11,57.15,110.08,5.84,15.35,116.98,,,,4
5,125,141.3,2.77,70.65,135.76,9.46,23.92,289.15,,,,5
6,150,168.3,2.77,84.15,162.76,11.31,32.1,493.25,,,,6
8,200,219.1,2.77,109.55,213.56,14.78,50.58,1100.88,,,,8
10,250,273,3.4,136.55,266.3,22.61,78.27,2618.36,,,,10
12,300,323.8,3.96,161.95,315.98,31.25,109.62,5091.04,,,,12
14,350,355.6,3.96,177.8,347.68,34.34,129.23,6759.03,,,,14
16,400,406.4,4.19,203.2,398.02,41.56,165.91,10701.86,,,,16
18,450,457,4.19,228.5,448.62,46.79,204.77,15269.99,,,,18
20,500,508,4.78,254,498.44,59.32,254.34,23910.04,,,,20
22,550,559,4.78,279.5,549.44,65.33,302.3,31940.84,,,,22
24,600,610,5.54,305,598.92,82.58,364.16,48027.34,,,,24
26,650,660,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
28,700,711,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
30,750,762,6.35,381,749.3,118.34,559.07,107548.93,,,,30
