10,2,3,,5,6,7,8,9,10
NPS,DN,Diameter,Thickness,Weight,XS,Schedule,water,total,units
[Note (1)],Note 2,in.,in.,lb/ft,or XXS,No,lb/ft,lb/ft,lb/ft
0+1/8,6,0.405,0.049,0.19,,10,0.03,0.22,lb/ft
0+1/8,6,0.405,0.057,0.21,,30,0.02,0.23,lb/ft
0+1/8,6,0.405,0.068,0.24,STD,40,0.02,0.26,lb/ft
0+1/8,6,0.405,0.095,0.31,XS,80,0.01,0.32,lb/ft
0+1/4,8,0.54,0.065,0.33,,10,0.05,0.38,lb/ft
0+1/4,8,0.54,0.073,0.36,,30,0.05,0.41,lb/ft
0+1/4,8,0.54,0.088,0.43,STD,40,0.04,0.47,lb/ft
0+1/4,8,0.54,0.119,0.54,XS,80,0.03,0.57,lb/ft
0+3/8,10,0.675,0.065,0.42,,10,0.1,0.52,lb/ft
0+3/8,10,0.675,0.073,0.47,,30,0.09,0.56,lb/ft
0+3/8,10,0.675,0.091,0.57,STD,40,0.08,0.65,lb/ft
0+3/8,10,0.675,0.126,0.74,XS,80,0.06,0.8,lb/ft
0+1/2,15,0.84,0.065,0.54,,5,0.17,0.71,lb/ft
0+1/2,15,0.84,0.083,0.67,,10,0.15,0.82,lb/ft
0+1/2,15,0.84,0.095,0.76,,30,0.14,0.9,lb/ft
0+1/2,15,0.84,0.109,0.85,STD,40,0.13,0.98,lb/ft
0+1/2,15,0.84,0.147,1.09,XS,80,0.1,1.19,lb/ft
0+1/2,15,0.84,0.188,1.31,,160,0.07,1.38,lb/ft
0+1/2,15,0.84,0.294,1.72,XXS,,0.02,1.74,lb/ft
0+3/4,20,1.05,0.065,0.69,,5,0.28,0.97,lb/ft
0+3/4,20,1.05,0.083,0.86,,10,0.26,1.12,lb/ft
0+3/4,20,1.05,0.095,0.97,,30,0.24,1.21,lb/ft
0+3/4,20,1.05,0.113,1.13,STD,40,0.22,1.35,lb/ft
0+3/4,20,1.05,0.154,1.48,XS,80,0.18,1.66,lb/ft
0+3/4,20,1.05,0.219,1.95,,160,0.12,2.07,lb/ft
0+3/4,20,1.05,0.308,2.44,XXS,,0.06,2.5,lb/ft
1,25,1.315,0.065,0.87,,5,0.47,1.34,lb/ft
1,25,1.315,0.109,1.41,,10,0.4,1.81,lb/ft
1,25,1.315,0.114,1.46,,30,0.39,1.85,lb/ft
1,25,1.315,0.133,1.68,STD,40,0.37,2.05,lb/ft
1,25,1.315,0.179,2.17,XS,80,0.3,2.47,lb/ft
1,25,1.315,0.25,2.85,,160,0.22,3.07,lb/ft
1,25,1.315,0.358,3.66,XXS,,0.12,3.78,lb/ft
1+1/4,32,1.66,0.065,1.11,,5,0.79,1.9,lb/ft
1+1/4,32,1.66,0.109,1.81,,10,0.7,2.51,lb/ft
1+1/4,32,1.66,0.117,1.93,,30,0.68,2.61,lb/ft
1+1/4,32,1.66,0.14,2.27,STD,40,0.64,2.91,lb/ft
1+1/4,32,1.66,0.191,3,XS,80,0.55,3.55,lb/ft
1+1/4,32,1.66,0.25,3.77,,160,0.45,4.22,lb/ft
1+1/4,32,1.66,0.382,5.22,XXS,,0.27,5.49,lb/ft
1+1/2,40,1.9,0.065,1.28,,5,1.05,2.33,lb/ft
1+1/2,40,1.9,0.109,2.09,,10,0.95,3.04,lb/ft
1+1/2,40,1.9,0.125,2.37,,30,0.92,3.29,lb/ft
1+1/2,40,1.9,0.145,2.72,STD,40,0.87,3.59,lb/ft
1+1/2,40,1.9,0.2,3.63,XS,80,0.76,4.39,lb/ft
1+1/2,40,1.9,0.281,4.86,,160,0.6,5.46,lb/ft
1+1/2,40,1.9,0.4,6.41,XXS,,0.4,6.81,lb/ft
2,50,2.375,0.065,1.61,,5,1.7,3.31,lb/ft
2,50,2.375,0.083,2.03,,,1.64,3.67,lb/ft
2,50,2.375,0.109,2.64,,10,1.57,4.21,lb/ft
2,50,2.375,0.125,3.01,,30,1.52,4.53,lb/ft
2,50,2.375,0.141,3.37,,,1.48,4.85,lb/ft
2,50,2.375,0.154,3.66,STD,40,1.44,5.1,lb/ft
2,50,2.375,0.172,4.05,,,1.39,5.44,lb/ft
2,50,2.375,0.188,4.4,,,1.35,5.75,lb/ft
2,50,2.375,0.218,5.03,XS,80,1.27,6.3,lb/ft
2,50,2.375,0.25,5.68,,,1.18,6.86,lb/ft
2,50,2.375,0.281,6.29,,,1.11,7.4,lb/ft
2,50,2.375,0.344,7.47,,160,0.96,8.43,lb/ft
2,50,2.375,0.436,9.04,XXS,,0.76,9.8,lb/ft
2+1/2,65,2.875,0.083,2.48,,5,2.48,4.96,lb/ft
2+1/2,65,2.875,0.109,3.22,,,2.38,5.6,lb/ft
2+1/2,65,2.875,0.12,3.53,,10,2.34,5.87,lb/ft
2+1/2,65,2.875,0.125,3.67,,,2.32,5.99,lb/ft
2+1/2,65,2.875,0.141,4.12,,,2.27,6.39,lb/ft
2+1/2,65,2.875,0.156,4.53,,,2.22,6.75,lb/ft
2+1/2,65,2.875,0.172,4.97,,,2.16,7.13,lb/ft
2+1/2,65,2.875,0.188,5.4,,30,2.11,7.51,lb/ft
2+1/2,65,2.875,0.203,5.8,STD,40,2.06,7.86,lb/ft
2+1/2,65,2.875,0.216,6.14,,,2.01,8.15,lb/ft
2+1/2,65,2.875,0.25,7.02,,,1.9,8.92,lb/ft
2+1/2,65,2.875,0.276,7.67,XS,80,1.82,9.49,lb/ft
2+1/2,65,2.875,0.375,10.02,,160,1.52,11.54,lb/ft
2+1/2,65,2.875,0.552,13.71,XXS,,1.06,14.77,lb/ft
3,80,3.5,0.083,3.03,,5,3.75,6.78,lb/ft
3,80,3.5,0.109,3.95,,,3.64,7.59,lb/ft
3,80,3.5,0.12,4.34,,10,3.59,7.93,lb/ft
3,80,3.5,0.125,4.51,,,3.56,8.07,lb/ft
3,80,3.5,0.141,5.06,,,3.5,8.56,lb/ft
3,80,3.5,0.156,5.58,,,3.43,9.01,lb/ft
3,80,3.5,0.172,6.12,,,3.36,9.48,lb/ft
3,80,3.5,0.188,6.66,,30,3.29,9.95,lb/ft
3,80,3.5,0.216,7.58,STD,40,3.18,10.76,lb/ft
3,80,3.5,0.25,8.69,,,3.04,11.73,lb/ft
3,80,3.5,0.281,9.67,,,2.91,12.58,lb/ft
3,80,3.5,0.3,10.26,XS,80,2.84,13.1,lb/ft
3,80,3.5,0.438,14.34,,160,2.32,16.66,lb/ft
3,80,3.5,0.6,18.6,XXS,,1.78,20.38,lb/ft
3+1/2,90,4,0.083,3.48,,5,4.96,8.44,lb/ft
3+1/2,90,4,0.109,4.53,,,4.83,9.36,lb/ft
3+1/2,90,4,0.12,4.98,,10,4.77,9.75,lb/ft
3+1/2,90,4,0.125,5.18,,,4.75,9.93,lb/ft
3+1/2,90,4,0.141,5.82,,,4.67,10.49,lb/ft
3+1/2,90,4,0.156,6.41,,,4.59,11,lb/ft
3+1/2,90,4,0.172,7.04,,,4.51,11.55,lb/ft
3+1/2,90,4,0.188,7.66,,30,4.43,12.09,lb/ft
3+1/2,90,4,0.226,9.12,STD,40,4.25,13.37,lb/ft
3+1/2,90,4,0.25,10.02,,,4.14,14.16,lb/ft
3+1/2,90,4,0.281,11.17,,,3.99,15.16,lb/ft
3+1/2,90,4,0.318,12.52,XS,80,3.82,16.34,lb/ft
4,100,4.5,0.083,3.92,,5,6.34,10.26,lb/ft
4,100,4.5,0.109,5.12,,,6.19,11.31,lb/ft
4,100,4.5,0.12,5.62,,10,6.13,11.75,lb/ft
4,100,4.5,0.125,5.85,,,6.1,11.95,lb/ft
4,100,4.5,0.141,6.57,,,6.01,12.58,lb/ft
4,100,4.5,0.156,7.24,,,5.92,13.16,lb/ft
4,100,4.5,0.172,7.96,,,5.83,13.79,lb/ft
4,100,4.5,0.188,8.67,,30,5.74,14.41,lb/ft
4,100,4.5,0.203,9.32,,,5.66,14.98,lb/ft
4,100,4.5,0.219,10.02,,,5.57,15.59,lb/ft
4,100,4.5,0.237,10.8,STD,40,5.47,16.27,lb/ft
4,100,4.5,0.25,11.36,,,5.4,16.76,lb/ft
4,100,4.5,0.281,12.67,,,5.24,17.91,lb/ft
4,100,4.5,0.312,13.97,,,5.07,19.04,lb/ft
4,100,4.5,0.337,15,XS,80,4.94,19.94,lb/ft
4,100,4.5,0.438,19.02,,120,4.43,23.45,lb/ft
4,100,4.5,0.531,22.53,,160,3.99,26.52,lb/ft
4,100,4.5,0.674,27.57,XXS,,3.35,30.92,lb/ft
5,125,5.563,0.083,4.86,,,9.84,14.7,lb/ft
5,125,5.563,0.109,6.36,,5,9.65,16.01,lb/ft
5,125,5.563,0.125,7.27,,,9.54,16.81,lb/ft
5,125,5.563,0.134,7.78,,10,9.47,17.25,lb/ft
5,125,5.563,0.156,9.02,,,9.31,18.33,lb/ft
5,125,5.563,0.188,10.8,,,9.09,19.89,lb/ft
5,125,5.563,0.219,12.51,,,8.87,21.38,lb/ft
5,125,5.563,0.258,14.63,STD,40,8.6,23.23,lb/ft
5,125,5.563,0.281,15.87,,,8.45,24.32,lb/ft
5,125,5.563,0.312,17.51,,,8.24,25.75,lb/ft
5,125,5.563,0.344,19.19,,,8.03,27.22,lb/ft
5,125,5.563,0.375,20.8,XS,80,7.82,28.62,lb/ft
5,125,5.563,0.5,27.06,,120,7.03,34.09,lb/ft
5,125,5.563,0.625,32.99,,160,6.28,39.27,lb/ft
5,125,5.563,0.75,38.59,XXS,,5.57,44.16,lb/ft
6,150,6.625,0.083,5.8,,,14.1,19.9,lb/ft
6,150,6.625,0.109,7.59,,5,13.87,21.46,lb/ft
6,150,6.625,0.125,8.69,,,13.73,22.42,lb/ft
6,150,6.625,0.134,9.3,,10,13.65,22.95,lb/ft
6,150,6.625,0.141,9.77,,,13.59,23.36,lb/ft
6,150,6.625,0.156,10.79,,,13.47,24.26,lb/ft
6,150,6.625,0.172,11.87,,,13.33,25.2,lb/ft
6,150,6.625,0.188,12.94,,,13.19,26.13,lb/ft
6,150,6.625,0.203,13.94,,,13.07,27.01,lb/ft
6,150,6.625,0.219,15,,,12.93,27.93,lb/ft
6,150,6.625,0.25,17.04,,,12.67,29.71,lb/ft
6,150,6.625,0.28,18.99,STD,40,12.43,31.42,lb/ft
6,150,6.625,0.312,21.06,,,12.17,33.23,lb/ft
6,150,6.625,0.344,23.1,,,11.91,35.01,lb/ft
6,150,6.625,0.375,25.05,,,11.66,36.71,lb/ft
6,150,6.625,0.432,28.6,XS,80,11.21,39.81,lb/ft
6,150,6.625,0.5,32.74,,,10.69,43.43,lb/ft
6,150,6.625,0.562,36.43,,120,10.22,46.65,lb/ft
6,150,6.625,0.625,40.09,,,9.76,49.85,lb/ft
6,150,6.625,0.719,45.39,,160,9.09,54.48,lb/ft
6,150,6.625,0.75,47.1,,,8.87,55.97,lb/ft
6,150,6.625,0.864,53.21,XXS,,8.1,61.31,lb/ft
6,150,6.625,0.875,53.78,,,8.03,61.81,lb/ft
8,200,8.625,0.109,9.92,,5,23.88,33.8,lb/ft
8,200,8.625,0.125,11.36,,,23.7,35.06,lb/ft
8,200,8.625,0.148,13.41,,10,23.44,36.85,lb/ft
8,200,8.625,0.156,14.12,,,23.35,37.47,lb/ft
8,200,8.625,0.188,16.96,,,22.99,39.95,lb/ft
8,200,8.625,0.203,18.28,,,22.83,41.11,lb/ft
8,200,8.625,0.219,19.68,,,22.65,42.33,lb/ft
8,200,8.625,0.25,22.38,,20,22.31,44.69,lb/ft
8,200,8.625,0.277,24.72,,30,22.01,46.73,lb/ft
8,200,8.625,0.312,27.73,,,21.63,49.36,lb/ft
