10,1,3,,5,6,7,8,9,10
NPS,DN(Ref),OD,Wall Thk,Mass,XS,Schedule,water,total ,unit
[Note (1)],Note 2,mm,mm,kg/m,or XXS,No,kg/m,kg/m,kg/m
0+1/8,6,10.3,1.24,0.28,,10,0.04,0.32,kg/m
0+1/8,6,10.3,1.45,0.32,,30,0.04,0.36,kg/m
0+1/8,6,10.3,1.73,0.37,STD,40,0.03,0.4,kg/m
0+1/8,6,10.3,2.41,0.47,XS,80,0.02,0.49,kg/m
0+1/4,8,13.7,1.65,0.49,,10,0.08,0.57,kg/m
0+1/4,8,13.7,1.85,0.54,,30,0.07,0.61,kg/m
0+1/4,8,13.7,2.24,0.63,STD,40,0.06,0.69,kg/m
0+1/4,8,13.7,3.02,0.8,XS,80,0.04,0.84,kg/m
0+3/8,10,17.1,1.65,0.63,,10,0.14,0.77,kg/m
0+3/8,10,17.1,1.85,0.7,,30,0.14,0.84,kg/m
0+3/8,10,17.1,2.31,0.84,STD,40,0.12,0.96,kg/m
0+3/8,10,17.1,3.2,1.1,XS,80,0.08,1.18,kg/m
0+1/2,15,21.3,1.65,0.8,,5,0.25,1.05,kg/m
0+1/2,15,21.3,2.11,1,,10,0.22,1.22,kg/m
0+1/2,15,21.3,2.41,1.12,,30,0.21,1.33,kg/m
0+1/2,15,21.3,2.77,1.27,STD,40,0.19,1.46,kg/m
0+1/2,15,21.3,3.73,1.62,XS,80,0.15,1.77,kg/m
0+1/2,15,21.3,4.78,1.95,,160,0.1,2.05,kg/m
0+1/2,15,21.3,7.47,2.55,XXS,,0.03,2.58,kg/m
0+3/4,20,26.7,1.65,1.03,,5,0.42,1.45,kg/m
0+3/4,20,26.7,2.11,1.28,,10,0.39,1.67,kg/m
0+3/4,20,26.7,2.41,1.44,,30,0.37,1.81,kg/m
0+3/4,20,26.7,2.87,1.69,STD,40,0.34,2.03,kg/m
0+3/4,20,26.7,3.91,2.2,XS,80,0.27,2.47,kg/m
0+3/4,20,26.7,5.56,2.9,,160,0.19,3.09,kg/m
0+3/4,20,26.7,7.82,3.64,XXS,,0.09,3.73,kg/m
1,25,33.4,1.65,1.29,,5,0.71,2,kg/m
1,25,33.4,2.77,2.09,,10,0.6,2.69,kg/m
1,25,33.4,2.9,2.18,,30,0.59,2.77,kg/m
1,25,33.4,3.38,2.5,STD,40,0.55,3.05,kg/m
1,25,33.4,4.55,3.24,XS,80,0.46,3.7,kg/m
1,25,33.4,6.35,4.24,,160,0.33,4.57,kg/m
1,25,33.4,9.09,5.45,XXS,,0.18,5.63,kg/m
1+1/4,32,42.2,1.65,1.65,,5,1.18,2.83,kg/m
1+1/4,32,42.2,2.77,2.69,,10,1.05,3.74,kg/m
1+1/4,32,42.2,2.97,2.87,,30,1.03,3.9,kg/m
1+1/4,32,42.2,3.56,3.39,STD,40,0.96,4.35,kg/m
1+1/4,32,42.2,4.85,4.47,XS,80,0.82,5.29,kg/m
1+1/4,32,42.2,6.35,5.61,,160,0.68,6.29,kg/m
1+1/4,32,42.2,9.7,7.77,XXS,,0.4,8.17,kg/m
1+1/2,40,48.3,1.65,1.9,,5,1.58,3.48,kg/m
1+1/2,40,48.3,2.77,3.11,,10,1.43,4.54,kg/m
1+1/2,40,48.3,3.18,3.53,,30,1.38,4.91,kg/m
1+1/2,40,48.3,3.68,4.05,STD,40,1.31,5.36,kg/m
1+1/2,40,48.3,5.08,5.41,XS,80,1.14,6.55,kg/m
1+1/2,40,48.3,7.14,7.25,,160,0.9,8.15,kg/m
1+1/2,40,48.3,10.15,9.55,XXS,,0.61,10.16,kg/m
2,50,60.3,1.65,2.39,,5,2.55,4.94,kg/m
2,50,60.3,2.11,3.03,,,2.46,5.49,kg/m
2,50,60.3,2.77,3.93,,10,2.35,6.28,kg/m
2,50,60.3,3.18,4.48,,30,2.28,6.76,kg/m
2,50,60.3,3.58,5.01,,,2.21,7.22,kg/m
2,50,60.3,3.91,5.44,STD,40,2.16,7.6,kg/m
2,50,60.3,4.37,6.03,,,2.08,8.11,kg/m
2,50,60.3,4.78,6.54,,,2.02,8.56,kg/m
2,50,60.3,5.54,7.48,XS,80,1.9,9.38,kg/m
2,50,60.3,6.35,8.45,,,1.77,10.22,kg/m
2,50,60.3,7.14,9.36,,,1.66,11.02,kg/m
2,50,60.3,8.74,11.11,,160,1.43,12.54,kg/m
2,50,60.3,11.07,13.44,XXS,,1.14,14.58,kg/m
2+1/2,65,73,2.11,3.69,,5,3.71,7.4,kg/m
2+1/2,65,73,2.77,4.8,,,3.57,8.37,kg/m
2+1/2,65,73,3.05,5.26,,10,3.51,8.77,kg/m
2+1/2,65,73,3.18,5.48,,,3.48,8.96,kg/m
2+1/2,65,73,3.58,6.13,,,3.4,9.53,kg/m
2+1/2,65,73,3.96,6.74,,,3.32,10.06,kg/m
2+1/2,65,73,4.37,7.4,,,3.24,10.64,kg/m
2+1/2,65,73,4.78,8.04,,30,3.15,11.19,kg/m
2+1/2,65,73,5.16,8.63,STD,40,3.08,11.71,kg/m
2+1/2,65,73,5.49,9.14,,,3.01,12.15,kg/m
2+1/2,65,73,6.35,10.44,,,2.85,13.29,kg/m
2+1/2,65,73,7.01,11.41,XS,80,2.73,14.14,kg/m
2+1/2,65,73,9.53,14.92,,160,2.28,17.2,kg/m
2+1/2,65,73,14.02,20.39,XXS,,1.58,21.97,kg/m
3,80,88.9,2.11,4.52,,5,5.62,10.14,kg/m
3,80,88.9,2.77,5.88,,,5.45,11.33,kg/m
3,80,88.9,3.05,6.46,,10,5.38,11.84,kg/m
3,80,88.9,3.18,6.72,,,5.34,12.06,kg/m
3,80,88.9,3.58,7.53,,,5.24,12.77,kg/m
3,80,88.9,3.96,8.3,,,5.14,13.44,kg/m
3,80,88.9,4.37,9.11,,,5.04,14.15,kg/m
3,80,88.9,4.78,9.92,,30,4.94,14.86,kg/m
3,80,88.9,5.49,11.29,STD,40,4.76,16.05,kg/m
3,80,88.9,6.35,12.93,,,4.55,17.48,kg/m
3,80,88.9,7.14,14.4,,,4.37,18.77,kg/m
3,80,88.9,7.62,15.27,XS,80,4.25,19.52,kg/m
3,80,88.9,11.13,21.35,,160,3.48,24.83,kg/m
3,80,88.9,15.24,27.68,XXS,,2.67,30.35,kg/m
3+1/2,90,101.6,2.11,5.18,,5,7.44,12.62,kg/m
3+1/2,90,101.6,2.77,6.75,,,7.24,13.99,kg/m
3+1/2,90,101.6,3.05,7.41,,10,7.15,14.56,kg/m
3+1/2,90,101.6,3.18,7.72,,,7.12,14.84,kg/m
3+1/2,90,101.6,3.58,8.65,,,7,15.65,kg/m
3+1/2,90,101.6,3.96,9.54,,,6.88,16.42,kg/m
3+1/2,90,101.6,4.37,10.48,,,6.76,17.24,kg/m
3+1/2,90,101.6,4.78,11.41,,30,6.65,18.06,kg/m
3+1/2,90,101.6,5.74,13.57,STD,40,6.37,19.94,kg/m
3+1/2,90,101.6,6.35,14.92,,,6.2,21.12,kg/m
3+1/2,90,101.6,7.14,16.63,,,5.98,22.61,kg/m
3+1/2,90,101.6,8.08,18.64,XS,80,5.73,24.37,kg/m
4,100,114.3,2.11,5.84,,5,9.51,15.35,kg/m
4,100,114.3,2.77,7.62,,,9.28,16.9,kg/m
4,100,114.3,3.05,8.37,,10,9.19,17.56,kg/m
4,100,114.3,3.18,8.71,,,9.14,17.85,kg/m
4,100,114.3,3.58,9.78,,,9.01,18.79,kg/m
4,100,114.3,3.96,10.78,,,8.88,19.66,kg/m
4,100,114.3,4.37,11.85,,,8.74,20.59,kg/m
4,100,114.3,4.78,12.91,,30,8.61,21.52,kg/m
4,100,114.3,5.16,13.89,,,8.48,22.37,kg/m
4,100,114.3,5.56,14.91,,,8.35,23.26,kg/m
4,100,114.3,6.02,16.08,STD,40,8.2,24.28,kg/m
4,100,114.3,6.35,16.91,,,8.1,25.01,kg/m
4,100,114.3,7.14,18.87,,,7.85,26.72,kg/m
4,100,114.3,7.92,20.78,,,7.61,28.39,kg/m
4,100,114.3,8.56,22.32,XS,80,7.41,29.73,kg/m
4,100,114.3,11.13,28.32,,120,6.65,34.97,kg/m
4,100,114.3,13.49,33.54,,160,5.98,39.52,kg/m
4,100,114.3,17.12,41.03,XXS,,5.03,46.06,kg/m
5,125,141.3,2.11,7.24,,,14.75,21.99,kg/m
5,125,141.3,2.77,9.46,,5,14.46,23.92,kg/m
5,125,141.3,3.18,10.83,,,14.29,25.12,kg/m
5,125,141.3,3.4,11.56,,10,14.2,25.76,kg/m
5,125,141.3,3.96,13.41,,,13.96,27.37,kg/m
5,125,141.3,4.78,16.09,,,13.62,29.71,kg/m
5,125,141.3,5.56,18.61,,,13.3,31.91,kg/m
5,125,141.3,6.55,21.77,STD,40,12.9,34.67,kg/m
5,125,141.3,7.14,23.62,,,12.66,36.28,kg/m
5,125,141.3,7.92,26.05,,,12.35,38.4,kg/m
5,125,141.3,8.74,28.57,,,12.03,40.6,kg/m
5,125,141.3,9.53,30.97,XS,80,11.72,42.69,kg/m
