8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,Removal Dist,Drn Size,Screne Area CM20,Wt Kg
0+1/2,15,170,95,165,0+1/2,80,3
0+3/4,20,170,95,165,0+1/2,80,3.5
1,25,185,110,185,0+1/2,126.5,5.5
1+1/2,40,270,140,230,0+1/2,199,10
2,50,275,180,285,0+1/2,333,16
3,80,360,220,355,0+1/2,574.5,30
4,100,435,260,410,0+1/2,923.4,50
6,150,560,340,552,0+1/2,1894,92
8,200,655,440,705,0+3/4,2870,180
10,250,880,600,1000,0+3/4,5000,340
12,300,970,640,1040,0+3/4,6375,385
14,350,1080,790,1550,0+3/4,8985,610
