13,2,3,4,5,6,7,8,9,10,11,12,13
NB inch,NB mm,F to F,Base to CL,Base to cl,Base to Cover,Bask Removal,Wt Kg,Basket Area,vent,drain,kg,Basket Removal
0+3/4,20,224,333,25,180,213,200,241,0+1/4,0+3/4,7,Basket Removal
1,25,225,345,28,190,225,200,241,0+1/4,0+3/4,13.5,Basket Removal
1+1/2,40,240,420,35,254,297,275,375,0+1/4,0+3/4,19,Basket Removal
2,50,315,490,38,314,362,340,488,0+1/4,0+3/4,27.5,Basket Removal
3,80,365,570,40,342,411,375,652,0+3/8,0+3/4,46.5,Basket Removal
4,100,445,695,47,426,505,450,1088,0+3/8,1,70,Basket Removal
6,150,600,990,95,619,734,630,2151,0+1/2,1+1/2,167,Basket Removal
8,200,715,1190,112.5,787,927,800,3973,0+1/2,1+1/2,310,Basket Removal
10,250,855,1415,120,908,1077,940,5304,0+1/2,1+1/2,550,Basket Removal
12,300,1015,1570,175,1152,1367,1180,8295,0+1/2,2,600,Basket Removal
