9,2,3,4,5,6,7,8,9
Inlet Size,Inlet Class,Outlet Size,Outlet Class,A outlet,B inlet,C,Wt,clear
1,150#,2,150#,115,105,300,10,300
1,300#,2,150#,115,105,300,10,300
1,600#,2,150#,115,105,300,10,300
1,900#,2,300#,140,105,300,10,300
1,1500#,2,N/A,N/A,N/A,N/A,N/A,N/A
1,2500#,2,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,150#,2,150#,120,125,300,10,300
1+1/2,300#,2,150#,150,125,300,10,300
1+1/2,600#,2,150#,150,125,300,10,300
1+1/2,900#,2,300#,140,105,300,10,300
1+1/2,1500#,2,300#,140,105,325,17,300
1+1/2,2500#,2,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,150#,2+1/2,150#,120,125,325,14,300
1+1/2,300#,2+1/2,150#,150,125,325,14,300
1+1/2,600#,2+1/2,150#,150,125,326,14,300
1+1/2,900#,2+1/2,300#,150,125,300,10,300
1+1/2,1500#,2+1/2,300#,150,125,350,17,300
1+1/2,2500#,2+1/2,300#,165,140,350,17,300
2,150#,2+1/2,N/A,N/A,N/A,N/A,N/A,N/A
2,300#,2+1/2,N/A,N/A,N/A,N/A,N/A,N/A
2,600#,2+1/2,N/A,N/A,N/A,N/A,N/A,N/A
2,900#,2+1/2,N/A,N/A,N/A,N/A,N/A,N/A
2,1500#,2+1/2,N/A,N/A,N/A,N/A,N/A,N/A
2,2500#,2+1/2,N/A,N/A,N/A,N/A,N/A,N/A
2,150#,3,150#,124,130,350,31,300
2,300#,3,150#,124,130,350,31,300
2,600#,3,150#,162,154,350,56,300
2,900#,3,150#,162,154,350,56,300
2,1500#,3,300#,162,154,350,56,300
2,2500#,3,N/A,N/A,N/A,N/A,N/A,N/A
3,150#,4,150#,162,156,540,72,300
3,300#,4,150#,162,156,540,72,300
3,600#,4,150#,181,184,540,72,300
3,900#,4,150#,216,197,540,72,300
3,1500#,4,300#,216,197,540,72,300
3,2500#,4,N/A,N/A,N/A,N/A,N/A,N/A
3,150#,6,N/A,N/A,N/A,N/A,N/A,N/A
3,300#,6,N/A,N/A,N/A,N/A,N/A,N/A
3,600#,6,N/A,N/A,N/A,N/A,N/A,N/A
3,900#,6,150#,216,197,540,80,300
3,1500#,6,300#,216,197,540,80,300
3,2500#,6,N/A,N/A,N/A,N/A,N/A,N/A
4,150#,6,150#,229,181,510,140,650
4,300#,6,150#,229,181,510,140,650
4,600#,6,150#,254,225,510,140,650
4,900#,6,150#,254,225,510,140,650
4,1500#,6,N/A,N/A,N/A,N/A,N/A,N/A
4,2500#,6,N/A,N/A,N/A,N/A,N/A,N/A
4,150#,8,N/A,N/A,N/A,N/A,N/A,N/A
4,300#,8,N/A,N/A,N/A,N/A,N/A,N/A
4,600#,8,N/A,N/A,N/A,N/A,N/A,N/A
4,900#,8,N/A,N/A,N/A,N/A,N/A,N/A
4,1500#,8,N/A,N/A,N/A,N/A,N/A,N/A
4,2500#,8,N/A,N/A,N/A,N/A,N/A,N/A
6,150#,8,150#,241,240,510,230,650
6,300#,8,150#,241,240,510,230,650
6,600#,8,150#,241,240,510,230,650
6,900#,8,N/A,N/A,N/A,N/A,N/A,N/A
6,1500#,8,N/A,N/A,N/A,N/A,N/A,N/A
6,2500#,8,N/A,N/A,N/A,N/A,N/A,N/A
6,150#,10,N/A,N/A,N/A,N/A,N/A,N/A
6,300#,10,150#,267,240,520,277,650
6,600#,10,150#,267,240,520,277,650
6,900#,10,N/A,N/A,N/A,N/A,N/A,N/A
6,1500#,10,N/A,N/A,N/A,N/A,N/A,N/A
6,2500#,10,N/A,N/A,N/A,N/A,N/A,N/A
8,150#,10,150#,279,276,530,277,650
8,300#,10,150#,279,276,530,277,650
8,600#,10,N/A,N/A,N/A,N/A,N/A,N/A
8,900#,10,N/A,N/A,N/A,N/A,N/A,N/A
8,1500#,10,N/A,N/A,N/A,N/A,N/A,N/A
8,2500#,10,N/A,N/A,N/A,N/A,N/A,N/A
