14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/2,15,152,163,152,260,152,N/A,N/A,N/A,6,5,11,3
0+3/4,20,178,191,178,265,177,N/A,N/A,N/A,7,6,13,4
1,25,203,216,203,270,203,N/A,N/A,N/A,10,9,13,4
1+1/4,32,216,229,216,320,203,N/A,N/A,N/A,23,20,13,4
1+1/2,40,229,242,229,390,203,N/A,N/A,N/A,26,22,13,4
2,50,267,283,267,420,200,N/A,N/A,N/A,31,27,16,6
2+1/2,65,292,308,292,435,200,N/A,N/A,N/A,48,41,16,6
3,80,318,334,318,450,250,N/A,N/A,N/A,58,50,16,6
4,100,356,372,356,520,250,N/A,N/A,N/A,86,73,16,6
5,125,400,416,400,620,400,N/A,N/A,N/A,130,111,16,6
6,150,444,460,444,650,400,N/A,N/A,N/A,150,128,16,6
8,200,559,575,559,800,400,N/A,N/A,N/A,397,338,16,6
10,250,622,638,622,1040,500,N/A,N/A,N/A,527,448,16,6
12,300,711,727,711,1140,600,N/A,N/A,N/A,608,517,16,6
