13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Spindle,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+1/2,15,7.5,N/A,23,9.875,N/A,N/A,N/A,N/A,6.5,3.7,In Header
0+3/4,20,7.625,8.125,26,11,N/A,N/A,N/A,N/A,7.5,5,In Header
1,25,7.625,8.25,26,11,N/A,N/A,N/A,N/A,10.9,8,In Header
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
1+1/2,40,9.25,9.75,30,13.125,N/A,N/A,N/A,N/A,26.8,23,In Header
2,50,10.5,11.125,36,13.125,N/A,N/A,N/A,N/A,30.8,24,In Header
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
3,80,12.5,13.125,38,15,N/A,N/A,N/A,N/A,63.5,52,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
4,100,14.5,15.125,43,16,N/A,N/A,N/A,N/A,95.2,76,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
6,150,18.625,19.25,49,17.5,N/A,N/A,N/A,N/A,195,160,In Header
8,200,22.375,23,50,20.75,N/A,N/A,N/A,N/A,285.7,233,In Header
10,250,27.875,28.5,51,25,N/A,N/A,N/A,N/A,453.5,382,In Header
12,300,31.75,32,64,25,N/A,N/A,N/A,N/A,696.6,596,In Header
