13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+1/2,15,8,7.9375,26,11,11,7,N/A,N/A,5,3,In Header
0+3/4,20,8.125,8.125,26,11,11,7,N/A,N/A,10,7,In Header
1,25,8.25,8.25,26,11,11,7,N/A,N/A,15.4,11,In Header
1+1/4,32,9.875,9.875,30,13,11.25,12,N/A,N/A,20,15,In Header
1+1/2,40,9.875,9.875,36,13,11.25,12,N/A,N/A,27.2,21,In Header
2,50,11.25,11.375,37,13,11.25,12,N/A,N/A,43,35,In Header
2+1/2,65,12.25,12.4375,38,16,14.75,14,N/A,N/A,62,51,In Header
3,80,13.25,13.375,43,16,14.75,14,N/A,N/A,81,67,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,In Header
4,100,15.5,15.625,49,18.625,14.75,14,N/A,N/A,152,120,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,In Header
6,150,20,20.125,64,21,N/A,14,N/A,N/A,328,256,In Header
8,200,24,24.125,61,25,12,17,N/A,N/A,566,462,In Header
10,250,33.5,33.25,64,25,12,17,N/A,N/A,852,698,In Header
