14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,N/A,Height,N/A,N/A,BW F/F Short Pattern,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/4,8,4,4,4,N/A,0,N/A,N/A,4,5,5,N/A,N/A
0+3/8,10,4,4,4,N/A,0,N/A,N/A,4,5,5,N/A,N/A
0+1/2,15,4.25,4.25,4.25,N/A,3.74,N/A,N/A,4.25,5,5,N/A,N/A
0+3/4,20,4.62,4.62,4.62,N/A,3.74,N/A,N/A,4.62,7,6,N/A,N/A
1,25,5,5.5,5,N/A,4.33,N/A,N/A,5,10,9,0.5,0.16
1+1/4,32,5.5,6,5.5,N/A,4.8,N/A,N/A,5.5,15,13,0.5,0.16
1+1/2,40,6.5,7,6.5,N/A,5.51,N/A,N/A,6.5,18,16,0.5,0.16
2,50,8,8.5,8,N/A,6.49,N/A,N/A,8,19,17,0.5,0.16
2+1/2,65,8.5,9,8.5,N/A,7,N/A,N/A,8.5,26,22,0.5,0.16
3,80,9.5,10,9.5,N/A,7.32,N/A,N/A,9.5,29,25,0.5,0.16
4,100,11.5,12,11.5,N/A,8.54,N/A,N/A,11.5,48,41,0.5,0.16
5,125,13,13.5,13,N/A,9.05,N/A,N/A,13,69,59,0.5,0.16
6,150,14,14.5,14,N/A,10.47,N/A,N/A,14,77,66,0.5,0.16
8,200,19.5,20,19.5,N/A,12.51,N/A,N/A,19.5,133,113,0.5,0.16
10,250,24.5,25,24.5,N/A,14.48,N/A,N/A,24.5,266,226,0.5,0.16
12,300,27.5,28,27.5,N/A,15.98,N/A,N/A,27.5,347,295,0.5,0.16
14,350,31,31.5,31,N/A,17,N/A,N/A,31,451,384,0.5,0.12
16,400,34,34.5,34,N/A,19.01,N/A,N/A,34,556,473,0.5,0.12
18,450,38.5,39,38.5,N/A,23.62,N/A,N/A,38.5,784,667,0.5,0.12
20,500,38.5,39,38.5,N/A,25.98,N/A,N/A,38.5,835,710,0.5,0.12
22,550,42,42.5,42,N/A,27.55,N/A,N/A,42,1200,1000,0.5,0.12
24,600,51,51.5,51,N/A,29.13,N/A,N/A,51,1580,1343,0.5,0.12
26,650,51,51,51,N/A,32.28,N/A,N/A,51,1800,1530,N/A,N/A
28,700,57,57,57,N/A,35.43,N/A,N/A,57,1900,1615,N/A,N/A
30,750,60,60,60,N/A,38.58,N/A,N/A,60,2120,1802,N/A,N/A
32,800,N/A,N/A,N/A,N/A,39.37,N/A,N/A,N/A,2500,2125,N/A,N/A
34,850,N/A,N/A,N/A,N/A,40.15,N/A,N/A,N/A,2900,2465,N/A,N/A
36,900,77,77,77,N/A,40.74,N/A,N/A,77,3344,2843,N/A,N/A
