14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Check,Wafer Check,od,Face to Face,nim mati,id,no of bo,bolt len,spa,bolt dia,bolt dia,Weight K,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,\,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,146.05,70,0,60.325,203.2,254,,27,1,14,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,196.85,86,41.275,88.9,203.2,311.15,,33,1+1/4,21,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,234.95,105,85.725,114.3,203.2,371.475,,39,1+1/2,44,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,317.5,159,120.65,168.275,203.2,520.7,,52,2,87,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,387.35,206,171.45,219.075,304.8,609.6,,52,2,138,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,476.25,254,200.025,273.05,304.8,774.7,,64,2+1/2,225,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,549.275,305,250.825,323.85,304.8,876.3,,70,2+3/4,408,VIEW LOOKING UPSTREAM,SECTION PLAN
