14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Check,Wafer Check,od,Face to Face,nim mati,id,no of bo,bolt len,spa,bolt dia,bolt dia,Weight K,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,\,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,5.75,2.75,0,2.375,203.2,254,,27,1,14,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,7.75,3.38,1.625,3.5,203.2,311.15,,33,1+1/4,21,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,9.25,4.12,3.375,4.5,203.2,371.475,,39,1+1/2,44,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,12.5,6.25,4.75,6.625,203.2,520.7,,52,2,87,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,15.25,8.12,6.75,8.625,304.8,609.6,,52,2,138,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,18.75,10,7.875,10.75,304.8,774.7,,64,2+1/2,225,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,21.625,12,9.875,12.75,304.8,876.3,,70,2+3/4,408,VIEW LOOKING UPSTREAM,SECTION PLAN
