18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Valve,Valve,A,B,C,D,E,H,J,K,L,M,N,P1,P2,Weight,met,bolt
size,met size,f to f,oa ht,handl lug,lud sq,width,int dia,ctr to end,pcd,boly qty,bolt dia,min id,pjn in pipe 1,pjn in pipe 2,Weight KG,blt size,LEN
3,80,54,338,83,19,135,80,133,168,8,0+3/4,74,16,21,12.27,M20,190
4,100,64,376,83,25,168,102,155,216,8,0+7/8,97,26,36,18.18,M24,220
6,150,78,484,83,32,216,147,206,292,12,1,147,40,44,30.9,M27,260
8,200,102,551,89,38,270,189,241,349,12,1+1/8,189,49,52,57.72,M30,305
10,250,117,716,146,51,383,235,302,432,16,1+1/4,236,70,70,113.18,M33,350
12,300,140,786,146,64,413,281,333,489,20,1+1/4,281,82,85,153.18,M33,375
14,350,155,864,146,76,413,320,362,527,20,1+3/8,308,81,90,229.54,M36,405
16,400,178,946,146,89,678,348,400,603,20,1+1/2,351,90,95,305.9,M39,455
18,450,200,984,146,89,533,398,425,654,20,1+5/8,387,109,117,382.26,M42,480
20,500,216,1178,191,102,584,451,460,724,24,1+5/8,432,118,126,458.62,M42,520
24,600,232,1283,191,114,781,482,533,838,24,1+7/8,457,118,155,534.98,M48,580
