18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
bfy wa 150#,,A,B,C,D,E,H,J,K,L,M,N,P1,P2,Wafer,met,BLT
size,met size,f to f,oa ht,handl lug,lud sq,width,int dia,ctr to end,pcd,boly qty,bolt dia,min id,pjn in pipe 1,pjn in pipe 2,Weight KG,blt size,LEN
2,50,1.73,8.74,3.26,0.51,4.01,2.2,3.38,4.76,4,0+5/8,1.92,0.11,0.47,3.18,M16,5.11
3,80,1.88,10,3.26,0.51,5.39,3.14,4.01,5.98,4,0+5/8,2.91,0.66,0.7,4.54,M16,5.51
4,100,2.12,11.49,3.26,0.62,6.73,4.01,4.88,7.51,8,0+5/8,3.81,1.02,1.02,8.63,M16,5.7
5,125,#VALUE!,12.59,3.26,0.74,7.63,4.8,5.39,8.5,8,0+3/4,4.8,1.33,1.37,13.18,M20,6.29
6,150,2.24,13.74,3.26,0.74,8.62,5.78,5.98,9.48,8,0+3/4,5.78,1.73,1.92,13.18,M20,6.29
8,200,2.51,16.06,3.26,0.98,10.86,7.44,7.12,11.73,8,0+3/4,7.63,2.44,2.63,21.36,M20,7.08
10,250,2.79,19.25,3.5,1.25,12.99,9.25,9.01,14.25,12,0+7/8,9.56,3.14,3.46,34.09,M24,7.67
12,300,3.18,21.25,3.5,1.49,15.23,11.06,10,17,12,0+7/8,11.37,3.81,4.21,48.63,M24,8.26
14,350,3.62,25.66,3.5,1.49,16.25,12.59,11.61,18.74,12,1,13.14,4.37,4.68,68.18,M27,9.25
16,400,4.01,29.17,3.5,1.73,18.5,14.44,13.11,21.25,16,1,15,5.11,5.43,90.9,M27,9.84
18,450,4.48,31.1,3.5,1.73,20.98,16.29,14.13,22.75,16,1+1/8,16.88,5.74,6.33,121.81,M30,10.82
20,500,5,36.57,5.74,2,23.07,18.14,15.51,25,20,1+1/8,18.81,6.41,7.04,197.72,M30,11.61
24,600,6.06,41.06,5.74,2.51,27.24,21.57,17.75,29.48,20,1+1/4,22.63,7.44,8.26,294.54,M33,13.38
