18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Valve,,A,B,C,D,E,H,J,K,L,M,N,P1,P2,Weight,m blts,blt len
size,met size,f to f,oa ht,handl lug,lud sq,width,int dia,ctr to end,pcd,boly qty,bolt dia,min id,pjn in pipe 1,pjn in pipe 2,Weight KG,blt size,LEN
3,80,1.88,11.37,3.26,0.62,5.15,3.14,4.64,6.61,8,0+5/8,2.91,0.62,0.78,6.81,M16,6.49
4,100,2.12,13.46,3.26,0.74,6.33,4.01,5.74,7.87,8,0+5/8,3.81,0.98,1.1,10.9,M16,6.88
6,150,2.32,16.02,3.26,0.98,8.66,5.78,7,10.62,12,0+3/4,5.78,1.77,1.81,15.9,M20,7.48
8,200,2.87,18.62,3.5,1.25,10.86,7.44,8.26,12.99,12,0+3/4,7.63,2.2,2.55,26.81,M20,8.66
10,250,3.26,23.03,3.5,1.49,12.95,9.25,9.56,15.23,16,0+7/8,9.56,2.95,3.22,49.09,M24,9.84
12,300,3.62,25.66,3.5,1.73,15.27,11.06,10.98,17.75,16,1+1/8,11.37,3.7,3.89,71.81,M30,10.82
14,350,4.6,31.85,5.74,2,16.25,12.59,13.62,20.23,20,1+1/8,12.51,4.05,4.17,105.45,M30,12
16,400,5.23,33.7,5.74,2.51,18.5,14.44,14.76,22.51,20,1+1/4,14.29,4.6,4.76,195.45,M33,13.38
18,450,5.86,36.41,5.74,2.51,20.98,16.29,15.74,24.76,24,1+1/4,16.1,5.31,5.43,247.27,M33,13.97
20,500,6.25,38.38,5.74,2.99,22.99,18.14,17,27,24,1+1/4,17.95,6.02,6.18,293.18,M33,14.76
24,600,7.12,43.54,5.74,3.5,27.24,21.57,19.48,32,24,1+1/2,21.57,7.36,7.48,456.81,M39,16.73
