18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
bfy 150 lug,mm,A,B,C,D,E,H,J,K,L,M,N,P1,P2,Weight,mc bolt,mc bolt
size,met size,f to f,oa ht,handl lug,lud sq,width,int dia,ctr to end,pcd,boly qty,bolt dia,min id,pjn in pipe 1,pjn in pipe 2,Weight KG,blt size,LEN
2,50,44,223,83,13,117,56,86,121,4,0+5/8,49,3,12,4.54,M16,35
3,80,48,262,83,13,152,80,102,152,4,0+5/8,74,17,18,6.36,M16,35
4,100,54,307,83,16,219,102,124,191,8,0+5/8,97,26,26,10.9,M16,35
5,125,N/A,334,83,19,248,122,137,216,8,0+3/4,122,34,35,15.9,M20,45
6,150,57,363,83,19,273,147,152,241,8,0+3/4,147,44,49,15.9,M20,45
8,200,64,421,83,25,334,189,181,298,8,0+3/4,194,62,67,26.81,M20,45
10,250,71,515,89,32,406,235,229,362,12,0+7/8,243,80,88,40,M24,50
12,300,81,572,89,38,477,281,254,432,12,0+7/8,289,97,107,62.27,M24,50
14,350,92,663,89,38,533,320,295,476,12,1,334,111,119,97.72,M27,60
16,400,102,741,89,44,597,367,333,540,16,1,381,130,138,141.81,M27,60
18,450,114,790,89,44,641,414,359,578,16,1+1/8,429,146,161,184.09,M30,65
20,500,127,929,146,51,699,461,394,635,20,1+1/8,478,163,179,237.27,M30,65
24,600,154,1043,146,64,819,548,451,749,20,1+1/4,575,189,210,365.9,M33,75
