12,2,3,4,5,6,7,8,9,10,11,12
NB inche,NB mm,Height A,OD,Hole,D,E,Kg,N/A,N/A,N/A,N/A
0+1/4,8,38.1,57.15,34.93,28.58,40.48,0.23,N/A,N/A,N/A,N/A
0+3/8,10,38.1,57.15,34.93,28.58,40.48,0.23,N/A,N/A,N/A,N/A
0+1/2,15,38.1,57.15,34.93,28.58,40.48,0.3,N/A,N/A,N/A,N/A
0+3/4,20,46.04,69.85,43.66,35.72,47.63,0.34,N/A,N/A,N/A,N/A
1,25,53.98,82.55,53.98,44.45,55.56,0.52,N/A,N/A,N/A,N/A
1+1/4,32,65.09,96.84,67.47,54.77,60.33,0.86,N/A,N/A,N/A,N/A
1+1/2,40,69.85,107.95,76.2,63.5,66.68,1.2,N/A,N/A,N/A,N/A
2,50,85.73,136.53,104.78,82.55,80.96,2.38,N/A,N/A,N/A,N/A
2+1/2,65,79.38,133.35,103.36,N/A,82.55,2.5,N/A,N/A,N/A,N/A
3,80,96.84,158.75,125.41,N/A,96.84,2.84,N/A,N/A,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,120.65,200.03,163.51,N/A,114.3,5.33,N/A,N/A,N/A,N/A
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,165.1,271.46,228.6,N/A,157.16,12.7,N/A,N/A,N/A,N/A
8,200,203.2,352.43,309.5,N/A,182.56,24.95,N/A,N/A,N/A,N/A
