12,2,3,4,5,6,7,8,9,10,11,12
NB inche,NB mm,Height A,OD,Hole,D,E,F,G,H,I,Kg
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,31.75,44.5,19.05,N/A,21.72,39.69,9.53,9.13,22.23,0.23
0+3/4,20,36.51,50.8,25.4,N/A,27.05,45.24,14.29,8.33,22.23,0.36
1,25,39.69,61.9,33.34,N/A,33.78,57.15,15.88,11.91,23.81,0.59
1+1/4,32,41.28,69.9,38.1,N/A,42.55,65.09,20.64,11.51,20.64,0.73
1+1/2,40,42.85,82.6,49.2,N/A,48.64,76.2,20.64,16.27,22.23,0.91
2,50,58.74,103.2,58.74,N/A,61.11,92.08,22.23,15.48,36.51,2.33
