12,2,3,4,5,6,7,8,9,10,11,12
NB inche,NB mm,Height A,OD,Hole,KG,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,14.3,25.4,15.9,0.04,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,19.05,31.75,19.05,0.07,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,19.05,34.93,23.81,0.08,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,22.23,44.45,30.16,0.11,N/A,N/A,N/A,N/A,N/A,N/A
1,25,26.99,53.98,36.51,0.23,N/A,N/A,N/A,N/A,N/A,N/A
1+1/4,32,31.75,65.09,44.45,0.36,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,33.34,73.03,50.8,0.45,N/A,N/A,N/A,N/A,N/A,N/A
2,50,38.1,88.9,65.09,0.79,N/A,N/A,N/A,N/A,N/A,N/A
2+1/2,65,41.28,103.19,76.2,1.13,N/A,N/A,N/A,N/A,N/A,N/A
3,80,44.45,122.24,93.66,1.81,N/A,N/A,N/A,N/A,N/A,N/A
3+1/2,90,47.63,142.88,112.71,2.5,N/A,N/A,N/A,N/A,N/A,N/A
4,100,50.8,152.4,120.65,2.86,N/A,N/A,N/A,N/A,N/A,N/A
5,130,57.15,179.3,141.29,4.65,N/A,N/A,N/A,N/A,N/A,N/A
6,150,60.33,215.9,169.86,6.44,N/A,N/A,N/A,N/A,N/A,N/A
8,200,69.85,263.53,220.66,10.66,N/A,N/A,N/A,N/A,N/A,N/A
10,250,77.79,322.26,274.64,17.69,N/A,N/A,N/A,N/A,N/A,N/A
12,300,85.73,377.83,325.44,26.76,N/A,N/A,N/A,N/A,N/A,N/A
14,350,88.9,409.58,357.19,29.94,N/A,N/A,N/A,N/A,N/A,N/A
16,400,93.6,463.55,407.99,34.02,N/A,N/A,N/A,N/A,N/A,N/A
18,450,96.84,520.7,458.79,44,N/A,N/A,N/A,N/A,N/A,N/A
20,500,101.6,571.5,508,53.52,N/A,N/A,N/A,N/A,N/A,N/A
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,144.5,717.5,609.6,101,N/A,N/A,N/A,N/A,N/A,N/A
26,650,155.6,778,660.4,120,N/A,N/A,N/A,N/A,N/A,N/A
28,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,750,174.6,893.6,762,190,N/A,N/A,N/A,N/A,N/A,N/A
32,800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,900,206.4,1070,914.4,310,N/A,N/A,N/A,N/A,N/A,N/A
38,950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,1000,225.4,1187.6,1016,435,N/A,N/A,N/A,N/A,N/A,N/A
42,1050,235,1244.6,1066.8,540,N/A,N/A,N/A,N/A,N/A,N/A
44,1100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,1200,241.3,1404,1219.2,750,N/A,N/A,N/A,N/A,N/A,N/A
