12,2,3,4,5,6,7,8,9,10,11,12
NB inches,NB mm,Height A,OD,Hole,KG,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,25.4,15.88,0.05,N/A,N/A,N/A,N/A,N/A,14.29
0+3/8,10,N/A,31.75,19.05,0.07,N/A,N/A,N/A,N/A,N/A,19.05
0+1/2,15,19.05,34.93,23.81,0.09,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,22.23,44.45,30.16,0.14,N/A,N/A,N/A,N/A,N/A,N/A
1,25,26.99,53.98,36.51,0.21,N/A,N/A,N/A,N/A,N/A,N/A
1+1/4,32,31.75,65.09,44.45,0.41,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,33.34,73.03,50.8,0.5,N/A,N/A,N/A,N/A,N/A,N/A
2,50,38.1,88.9,65.09,0.79,N/A,N/A,N/A,N/A,N/A,N/A
2+1/2,65,41.28,103.19,76.2,1.18,N/A,N/A,N/A,N/A,N/A,N/A
3,80,44.45,122.24,93.66,1.86,N/A,N/A,N/A,N/A,N/A,N/A
3+1/2,90,47.63,136.53,112.71,2.54,N/A,N/A,N/A,N/A,N/A,N/A
4,100,50.8,152.4,120.65,2.9,N/A,N/A,N/A,N/A,N/A,N/A
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,77.79,225.43,169.86,10.43,N/A,N/A,N/A,N/A,N/A,N/A
8,200,98.43,292.1,220.66,16.78,N/A,N/A,N/A,N/A,N/A,N/A
10,250,93.66,323.85,265.11,20.87,N/A,N/A,N/A,N/A,N/A,N/A
12,300,103.1,379.41,317.5,27.67,N/A,N/A,N/A,N/A,N/A,N/A
14,350,100.01,431.8,350.84,31.75,N/A,N/A,N/A,N/A,N/A,N/A
16,400,106.36,466.73,403.23,46.27,N/A,N/A,N/A,N/A,N/A,N/A
18,450,111.13,523.88,455.61,58.97,N/A,N/A,N/A,N/A,N/A,N/A
20,500,119.06,582.61,509.59,71.67,N/A,N/A,N/A,N/A,N/A,N/A
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,152.4,722.2,609.6,142,N/A,N/A,N/A,N/A,N/A,N/A
26,650,165.1,782.6,660.4,168,N/A,N/A,N/A,N/A,N/A,N/A
28,700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,750,181,896.8,762,218,N/A,N/A,N/A,N/A,N/A,N/A
32,800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,900,212.7,1074.4,914.4,404,N/A,N/A,N/A,N/A,N/A,N/A
38,950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,1000,235,1194,1016,582,N/A,N/A,N/A,N/A,N/A,N/A
42,1050,244.5,1250.8,1066.8,590,N/A,N/A,N/A,N/A,N/A,N/A
44,1100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,1150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,1200,273,1425.6,1219.2,910,N/A,N/A,N/A,N/A,N/A,N/A
