12,2,3,4,5,6,7,8,9,10,11,12
NB inche,NB mm,Height A,OD,Hole,KG,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,28.58,34.93,14.29,0.11,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,31.75,44.45,19.05,0.32,N/A,N/A,N/A,N/A,N/A,N/A
1,25,38.1,50.8,25.4,0.38,N/A,N/A,N/A,N/A,N/A,N/A
1+1/4,32,44.45,61.91,33.34,0.57,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,50.8,69.85,38.1,0.79,N/A,N/A,N/A,N/A,N/A,N/A
2,50,55.56,80.96,42.86,0.97,N/A,N/A,N/A,N/A,N/A,N/A
2+1/2,65,61.91,96.84,53.98,1.53,N/A,N/A,N/A,N/A,N/A,N/A
3,80,73.03,120.65,73.03,2.87,N/A,N/A,N/A,N/A,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,84.14,152.4,98.43,4.76,N/A,N/A,N/A,N/A,N/A,N/A
5,130,93.66,187.33,122.24,6.46,N/A,N/A,N/A,N/A,N/A,N/A
6,150,104.78,220.66,146.05,12.7,N/A,N/A,N/A,N/A,N/A,N/A
8,200,111.12,284.16,173.04,20.41,N/A,N/A,N/A,N/A,N/A,N/A
10,250,125.41,312.74,215.9,38.56,N/A,N/A,N/A,N/A,N/A,N/A
