8,2,3,4,5,6,7,8
pipet,pipet,sock lat e,sock lat e,sock lat e,sock elb e,sock elb e,sock elb e
in,mm,3000,6000,9000,3000,6000,9000
0+1/8,3,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,6,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,41.275,49.2125,53.975,36.5125,68.2625,44.45
0+3/4,20,46.0375,58.7375,60.325,41.275,52.3875,52.3875
1,25,57.15,65.0875,68.2625,52.3875,58.7375,60.325
1+1/4,32,61.9125,71.4375,76.2,55.5625,65.0875,68.2625
1+1/2,40,66.675,77.7875,80.9625,60.325,69.85,71.4375
2,50,76.2,95.25,96.8375,69.85,87.0585,88.9
2+1/2,60,85.725,N/A,N/A,79.375,N/A,N/A
3,80,100.0125,N/A,N/A,90.4875,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A
4,100,117.475,N/A,N/A,107.95,N/A,N/A
