5,2,3,4,5
Profils ipn,Profils ipn,thp 3000,thp 3000,thp 3000
in,mm,stdout,hole,wt/kg
0+1/8,3,19.05,8.6106,0.05
0+1/4,6,19.05,11.0998,0.06
0+3/8,10,20.6375,14.6812,0.06
0+1/2,15,25.4,18.2372,0.12
0+3/4,20,26.9875,23.4188,0.17
1,25,33.3375,29.3624,0.33
1+1/4,32,33.3375,38.1,0.43
1+1/2,40,34.925,44.0436,0.5
2,50,38.1,56.3372,0.75
2+1/2,60,46.0375,66.675,1.24
3,80,50.8,82.55,1.76
3+1/2,90,53.975,95.25,2.43
4,100,57.15,107.95,2.8
5,130,66.675,134.9248,4.96
6,150,68.2625,160.3248,6.4
