5,2,3,4,5
in,mm,std-a,std-c,std wtkg
0+1/4,6,15.875,9.2456,0.03
0+3/8,10,19.05,12.5222,0.04
0+1/2,15,19.05,15.7988,0.05
0+3/4,20,22.225,20.9296,0.12
1,25,26.9875,26.6446,0.15
1+1/4,32,31.75,35.052,0.32
1+1/2,40,33.3375,40.894,0.4
2,50,38.1,52.5018,0.5
2+1/2,60,41.275,62.7126,1.05
3,80,44.45,77.9272,1.13
3+1/2,90,47.625,90.1192,2.02
4,100,50.8,102.2604,2.71
5,130,57.15,128.1938,2.9
6,150,60.325,154.051,4.77
8,200,69.85,202.7174,8.18
10,250,77.7875,254.508,12.37
12,300,85.725,304.8,20
14,350,88.9,336.55,25.45
16,400,93.6625,387.35,34.54
18,450,96.8375,438.15,44.09
20,500,101.6,488.95,54.54
22,550,N/A,N/A,N/A
24,600,115.8875,590.55,88.45
26,650,119.0625,641.35,104.95
28,700,N/A,N/A,N/A
30,750,136.525,742.95,152.37
32,800,N/A,N/A,N/A
34,850,N/A,N/A,N/A
36,900,136.525,895.35,217.04
38,950,N/A,N/A,N/A
40,1000,N/A,N/A,N/A
42,1050,N/A,N/A,N/A
44,1100,N/A,N/A,N/A
46,1150,N/A,N/A,N/A
48,1200,147.6375,1200.15,501.68
