5,2,3,4,5
in,mm,xs-a,xs-c,xs wtkg
0+1/4,6,15.875,7.6708,4.55E-02
0+3/8,10,19.05,10.7442,6.82E-02
0+1/2,15,19.05,13.8684,5.45E-02
0+3/4,20,22.225,18.8468,9.55E-02
1,25,26.9875,24.3078,0.195454545
1+1/4,32,31.75,32.4612,0.313636364
1+1/2,40,33.3375,38.1,0.404545455
2,50,38.1,49.2506,0.568181818
2+1/2,60,41.275,59.0042,1.195454545
3,80,44.45,73.66,1.736363636
3+1/2,90,47.625,85.4456,2.254545455
4,100,50.8,97.1804,2.804545455
5,130,57.15,122.2502,4.359090909
6,150,77.7875,146.3294,6.845454545
8,200,98.425,193.675,13.02727273
10,250,93.6625,247.65,16.45
12,300,103.1875,298.45,30.45454545
14,350,100.0125,330.2,32.84090909
16,400,125.4125,381,46.40909091
18,450,111.125,431.8,58.97727273
20,500,119.0625,482.6,75.38636364
22,550,N/A,N/A,N/A
24,600,139.7,584.2,119.1363636
26,650,146.05,635,143.4863636
