11,2,3,4,5,6,7,8,9,10,11
pipet,pipet,lol e std,lol e xs,eol e std,eol e xs,N/A,N/A,N/A,N/A,N/A
in,mm,a,c,wt/kg,a,N/A,N/A,N/A,N/A,N/A
0+1/8,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,39.6875,39.6875,34.925,34.925,N/A,N/A,N/A,N/A,N/A
0+3/4,20,47.625,47.625,42.8625,42.8625,N/A,N/A,N/A,N/A,N/A
1,25,53.975,53.975,49.2125,49.2125,N/A,N/A,N/A,N/A,N/A
1+1/4,32,60.325,60.325,53.975,53.975,N/A,N/A,N/A,N/A,N/A
1+1/2,40,65.0875,65.0875,58.7375,58.7375,N/A,N/A,N/A,N/A,N/A
2,50,76.2,76.2,69.85,69.85,N/A,N/A,N/A,N/A,N/A
2+1/2,60,87.3125,85.725,80.9625,80.9625,N/A,N/A,N/A,N/A,N/A
3,80,95.25,95.25,88.9,88.9,N/A,N/A,N/A,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,117.475,117.475,109.5375,109.5375,N/A,N/A,N/A,N/A,N/A
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,157.1625,174.625,146.05,163.5125,N/A,N/A,N/A,N/A,N/A
8,200,193.675,222.25,184.15,215.9,N/A,N/A,N/A,N/A,N/A
10,250,230.1875,N/A,219.075,N/A,N/A,N/A,N/A,N/A,N/A
