8,2,3,4,5,6,7,8
pipet,pipet,thd lat e 3000,thd lat e 6000,thd lat e 9000,thd elb e 3000,thd elb e 6000,thd elb e 9000
in,mm,3000,6000,9000,3000,6000,9000
0+1/8,3,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,6,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,39.6875,50.8,53.975,34.925,44.45,44.45
0+3/4,20,44.45,58.7375,65.0875,39.6875,52.3875,55.5625
1,25,55.5625,68.2625,71.4375,50.8,60.325,61.9125
1+1/4,32,61.9125,73.025,79.375,55.5625,65.0875,69.85
1+1/2,40,66.675,80.9625,88.9,60.325,71.4375,76.2
2,50,76.2,98.425,106.3625,69.85,88.9,93.6625
2+1/2,60,92.075,N/A,N/A,85.725,N/A,N/A
3,80,104.775,N/A,N/A,96.8375,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A
4,100,127,N/A,N/A,117.475,N/A,N/A
